protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,115.147.16.205,5050,Philippines,PH,Quezon City,transparent,true,17.44,AS9299,Philippine Long Distance Telephone Co.,3890.56,1785345563.4013517
http,49.151.177.168,8082,Philippines,PH,Clark Freeport Zone,transparent,false,37.43,AS9299,Philippine Long Distance Telephone Co.,2914.65,1785345558.5319667
http,126.209.124.147,8089,Philippines,PH,Manila,transparent,true,29.78,AS135607,Infinivan Incorporated,8425.51,1785345557.2217908
http,124.217.5.100,5050,Philippines,PH,Cebu City,transparent,false,25.28,AS9299,Philippine Long Distance Telephone Co.,752.88,1785345549.5648885
http,180.191.228.36,8082,Philippines,PH,Sibonga,transparent,false,30.4,AS4775,Globe Telecom,11487.32,1785345544.4594522
http,180.191.120.72,8082,Philippines,PH,Cagayan de Oro,transparent,false,10.93,AS4775,Globe Telecom,9945.4,1785345543.580073
http,38.10.90.119,8084,Philippines,PH,Iloilo City,transparent,true,8.67,AS136244,Cogent Communications,3656.42,1785345540.6817033
http,126.209.110.96,8087,Philippines,PH,Cebu City,transparent,false,38.96,AS135607,Infinivan Incorporated,2469.07,1785345540.4944582
http,120.28.169.31,5050,Philippines,PH,Iloilo City,transparent,false,27.66,AS132199,Globe Telecom,13548.02,1785345539.9635332
http,49.144.25.241,8082,Philippines,PH,Bacoor,transparent,true,33.31,AS9299,Philippine Long Distance Telephone Co.,1850.98,1785345538.079296
http,124.105.87.12,8087,Philippines,PH,Makati City,transparent,false,19.03,AS9299,Philippine Long Distance Telephone Co.,3680.24,1785345537.6999092
http,180.191.120.70,8081,Philippines,PH,Cagayan de Oro,transparent,false,24.38,AS4775,Globe Telecom,2096.46,1785345531.4184506
http,195.86.215.2,3128,Philippines,PH,Manila,anonymous,true,12.36,AS984,Octopus Web Solution Inc,11631.7,1785345529.639844
http,119.93.64.216,8082,Philippines,PH,Makati City,transparent,false,19.51,AS9299,Philippine Long Distance Telephone Co.,10477.34,1785345526.9159267
http,161.49.87.222,8095,Philippines,PH,Pasig,transparent,false,9.7,AS17639,Converge ICT Solution Inc,2006.72,1785345526.4887311
http,115.147.171.114,8082,Philippines,PH,Quezon City,transparent,false,22.16,AS9299,Philippine Long Distance Telephone Co.,1789.91,1785345526.4829853
http,126.209.110.122,8087,Philippines,PH,Cebu City,transparent,false,37.07,AS135607,Infinivan Incorporated,4331.97,1785345526.307666
http,120.28.193.225,8080,Philippines,PH,Cagayan de Oro,transparent,true,7.53,AS132199,Globe Telecom,11680.41,1785345522.5216362
http,161.49.219.181,8082,Philippines,PH,Angeles City,transparent,true,24.51,AS17639,Converge Information and Communications Technology Solutions,4277.45,1785345514.58272
http,49.149.116.6,8081,Philippines,PH,Malaybalay,transparent,false,41.53,AS9299,Philippine Long Distance Telephone Co.,10496.53,1785345510.4065201
http,49.148.17.137,9999,Philippines,PH,Cebu City,transparent,false,36.15,AS9299,Philippine Long Distance Telephone Co.,7203.74,1785345507.4260066
http,126.209.84.5,8082,Philippines,PH,Cebu City,transparent,false,32.08,AS135607,Infinivan Incorporated,4287.12,1785345499.699069
