protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,112.209.61.197,8081,Philippines,PH,Iloilo City,transparent,true,22.96,AS9299,Philippine Long Distance Telephone Co.,2553.3,1788710349.160755
http,49.149.203.156,8081,Philippines,PH,Davao City,transparent,true,26.46,AS9299,Philippine Long Distance Telephone Co.,1440.92,1788710347.3248074
http,124.217.110.148,8082,Philippines,PH,Manila,transparent,true,20.18,AS9299,Philippine Long Distance Telephone Co.,3135.98,1788710335.028743
http,49.144.31.164,8082,Philippines,PH,Bacoor,transparent,true,28.14,AS9299,Philippine Long Distance Telephone Co.,3675.98,1788710328.2622192
http,58.69.124.137,8080,Philippines,PH,Makati City,transparent,true,37.67,AS9299,Philippine Long Distance Telephone Co.,919.95,1788710327.7312007
http,49.149.124.200,8081,Philippines,PH,Malaybalay,transparent,true,19.27,AS9299,Philippine Long Distance Telephone Co.,12540.81,1788710320.2481673
http,8.212.165.164,8080,Philippines,PH,Manila,elite,true,1.11,AS45102,"Alibaba (US) Technology Co., Ltd.",2407.58,1788710315.685458
http,119.94.187.31,8082,Philippines,PH,Baliuag,transparent,true,22.91,AS9299,Philippine Long Distance Telephone Co.,1932.28,1788710307.7889113
http,49.145.57.85,5050,Philippines,PH,Bacolod City,transparent,true,28.62,AS9299,Philippine Long Distance Telephone Co.,7445.47,1788710306.9821448
http,103.25.220.61,8082,Philippines,PH,San Jose del Monte,transparent,true,20.68,AS146954,Imjwanklik Internet Communication Services,3821.79,1788710304.7703059
http,49.149.192.110,8082,Philippines,PH,Davao City,transparent,true,22.98,AS9299,Philippine Long Distance Telephone Co.,3037.67,1788710304.56105
http,112.198.138.29,8082,Philippines,PH,General Trias,transparent,true,14.3,AS132199,Globe Telecom,2581.19,1788710303.0987175
http,49.149.115.217,8082,Philippines,PH,Malaybalay,transparent,true,28.51,AS9299,Philippine Long Distance Telephone Co.,4848.99,1788710296.325161
http,119.94.121.40,8081,Philippines,PH,Bocaue,transparent,true,18.03,AS9299,Philippine Long Distance Telephone Co.,1624.99,1788710295.9693086
http,124.83.99.75,8082,Philippines,PH,Quezon City,transparent,true,26.96,AS9299,Philippine Long Distance Telephone Co.,6235.33,1788710291.922254
http,154.18.196.6,8083,Philippines,PH,Quezon City,transparent,true,21.73,AS142271,Cogent Communications,8777.53,1788710288.8447678
http,180.191.136.230,8081,Philippines,PH,Lahug,transparent,true,23.87,AS4775,Globe Telecom,3915.01,1788710277.3322349
http,180.191.137.251,5050,Philippines,PH,Lahug,transparent,true,21.78,AS4775,Globe Telecom,4819.3,1788710274.7144756
http,126.209.105.226,5050,Philippines,PH,Manila,transparent,true,23.31,AS135607,Infinivan Incorporated,569.9,1788710268.136095
http,180.191.52.65,2001,Philippines,PH,Tarlac City,transparent,true,14.57,AS132199,Globe Telecom,3241.28,1788710265.8557858
http,119.93.87.65,8080,Philippines,PH,Pasig,transparent,true,9.94,AS9299,Philippine Long Distance Telephone Co.,2179.8,1788710261.8155377
http,180.191.229.72,5050,Philippines,PH,Baybay,transparent,true,23.34,AS4775,Globe Telecom,1045.37,1788710260.4055624
http,119.93.139.196,8082,Philippines,PH,Rodriguez,transparent,true,13.21,AS9299,Philippine Long Distance Telephone Co.,11203.77,1788710260.404162
http,165.101.102.27,8083,Philippines,PH,Quezon City,transparent,true,23.19,AS154002,iRateNet Solutions,1551.33,1788710258.3111053
http,163.227.87.123,5050,Philippines,PH,Mabini,transparent,true,24.51,AS153789,Clian Internet and I.T. Services,609.06,1788710257.252853
http,49.149.219.163,9999,Philippines,PH,Cagayan de Oro,transparent,true,17.82,AS9299,Philippine Long Distance Telephone Co.,1180.31,1788710247.182091
