protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,8.212.165.164,5006,Philippines,PH,Manila,elite,true,0.87,AS45102,"Alibaba (US) Technology Co., Ltd.",6390.56,1787012026.686489
socks5,8.212.165.164,5009,Philippines,PH,Manila,elite,true,0.9,AS45102,"Alibaba (US) Technology Co., Ltd.",6410.21,1787012026.449103
socks5,8.212.165.164,5007,Philippines,PH,Manila,elite,true,0.63,AS45102,"Alibaba (US) Technology Co., Ltd.",6386.63,1787012025.9280446
socks5,8.212.165.164,5010,Philippines,PH,Manila,elite,true,0.88,AS45102,"Alibaba (US) Technology Co., Ltd.",6416.16,1787012025.6173675
socks5,8.212.165.164,1111,Philippines,PH,Manila,elite,true,0.89,AS45102,"Alibaba (US) Technology Co., Ltd.",10463.77,1787012020.93604
socks5,8.212.165.164,8081,Philippines,PH,Manila,elite,true,0.91,AS45102,"Alibaba (US) Technology Co., Ltd.",13643.66,1787012019.4197648
socks5,8.212.165.164,86,Philippines,PH,Manila,elite,true,0.81,AS45102,"Alibaba (US) Technology Co., Ltd.",14136.9,1787012017.335243
socks5,8.212.165.164,51,Philippines,PH,Manila,elite,true,0.81,AS45102,"Alibaba (US) Technology Co., Ltd.",14768.36,1787012016.6198757
socks5,103.239.201.49,58765,Philippines,PH,San Juan,elite,true,12.01,AS17970,Sky Cable Corporation,4149.18,1787012100.4352798
socks5,103.239.201.10,58765,Philippines,PH,San Juan,elite,true,11.83,AS17970,Sky Cable Corporation,1186.12,1787012054.4581733
