protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,111.119.162.248,10922,Pakistan,PK,Tando Adam,elite,true,34.28,AS132165,Connect Communication,4621.47,1790125172.1744783
http,111.119.162.248,10910,Pakistan,PK,Tando Adam,elite,true,41.04,AS132165,Connect Communication,4143.81,1790125165.7581353
http,103.134.1.14,8080,Pakistan,PK,Multan,elite,true,28.56,AS138590,Prime Networks,1974.43,1790125153.4599266
http,111.119.162.248,10931,Pakistan,PK,Tando Adam,elite,true,39.64,AS132165,Connect Communication,1895.93,1790125151.3553948
http,43.251.253.40,8080,Pakistan,PK,Lahore,transparent,false,27.25,AS136384,Optix Pakistan (Pvt.) Limited,6351.11,1790125148.6637287
http,111.119.162.248,10920,Pakistan,PK,Tando Adam,elite,true,31.17,AS132165,Connect Communication,1197.13,1790125147.1484666
http,111.119.162.248,10923,Pakistan,PK,Tando Adam,elite,true,37.04,AS132165,Connect Communication,2690.93,1790125146.7500606
http,202.69.38.82,8080,Pakistan,PK,Lahore,transparent,false,6.17,AS23750,Gerrys Information Technology (PVT) Ltd,8270.56,1790125144.12131
http,111.119.162.248,10925,Pakistan,PK,Tando Adam,elite,true,37.14,AS132165,Connect Communication,2250.83,1790125141.4038765
http,110.38.234.74,1256,Pakistan,PK,Lahore,elite,false,27.07,AS38264,Wateen Telecom (Pvt.) Ltd,2535.56,1790125136.6217127
http,111.119.162.248,10929,Pakistan,PK,Tando Adam,elite,true,36.45,AS132165,Connect Communication,952.36,1790125132.0091398
http,111.119.162.248,10944,Pakistan,PK,Tando Adam,elite,true,27.09,AS132165,Connect Communication,7847.77,1790125129.8951511
http,111.119.162.248,10932,Pakistan,PK,Tando Adam,elite,true,37.03,AS132165,Connect Communication,1428.15,1790125103.0132198
http,111.119.162.248,10930,Pakistan,PK,Tando Adam,elite,true,34.63,AS132165,Connect Communication,13138.64,1790125101.998931
http,111.119.162.248,10927,Pakistan,PK,Tando Adam,elite,true,40.18,AS132165,Connect Communication,2832.98,1790125079.0215266
http,111.119.162.248,10913,Pakistan,PK,Tando Adam,elite,true,35.04,AS132165,Connect Communication,1336.04,1790125066.3368187
http,111.119.162.248,10921,Pakistan,PK,Tando Adam,elite,true,39.82,AS132165,Connect Communication,8696.15,1790125057.4765139
http,111.119.162.248,10919,Pakistan,PK,Tando Adam,elite,true,38.74,AS132165,Connect Communication,3192.28,1790125010.927699
http,202.59.75.7,8080,Pakistan,PK,Lahore,transparent,false,27.43,AS17563,NEXLINX,1778.75,1790125006.4741151
