protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,111.119.162.248,10940,Pakistan,PK,Tando Adam,elite,true,21.74,AS132165,Connect Communication,1078.08,1788336554.8361676
http,111.119.162.248,10915,Pakistan,PK,Tando Adam,elite,true,39.72,AS132165,Connect Communication,2908.59,1788336547.2671592
http,111.119.162.248,10919,Pakistan,PK,Tando Adam,elite,true,32.39,AS132165,Connect Communication,814.59,1788336537.4812973
http,111.119.162.248,10927,Pakistan,PK,Tando Adam,elite,true,34.52,AS132165,Connect Communication,12386.37,1788336525.7384763
http,111.119.162.248,10938,Pakistan,PK,Tando Adam,elite,true,19.34,AS132165,Connect Communication,6260.43,1788336521.8847938
http,111.119.162.248,10926,Pakistan,PK,Tando Adam,elite,true,32.7,AS132165,Connect Communication,7292.9,1788336518.6842532
http,111.119.162.248,10912,Pakistan,PK,Tando Adam,elite,true,38.06,AS132165,Connect Communication,13965.76,1788336511.436534
http,111.119.162.248,10935,Pakistan,PK,Tando Adam,elite,true,27.89,AS132165,Connect Communication,14328.45,1788336511.4274478
http,111.119.162.248,10913,Pakistan,PK,Tando Adam,elite,true,31.67,AS132165,Connect Communication,7746.95,1788336511.2395523
http,72.255.29.169,1973,Pakistan,PK,Islamabad,transparent,true,27.78,AS9541,Cyber Internet Services Pakistan,1502.27,1788336509.9022326
http,111.119.162.248,10939,Pakistan,PK,Tando Adam,elite,true,22.31,AS132165,Connect Communication,11434.59,1788336509.444177
http,111.119.162.248,10920,Pakistan,PK,Tando Adam,elite,true,33.38,AS132165,Connect Communication,7503.31,1788336507.499444
http,111.119.162.248,10931,Pakistan,PK,Tando Adam,elite,true,33.33,AS132165,Connect Communication,13734.23,1788336503.7876556
http,203.124.40.245,8080,Pakistan,PK,Islamabad,transparent,true,28.84,AS7590,COMSATS,15462.48,1788336496.8008943
http,111.119.162.248,10904,Pakistan,PK,Tando Adam,elite,true,34.49,AS132165,Connect Communication,6834.63,1788336476.5130296
http,111.119.162.248,10923,Pakistan,PK,Tando Adam,elite,true,34.5,AS132165,Connect Communication,5288.94,1788336468.4569166
http,110.38.234.74,1256,Pakistan,PK,Lahore,elite,true,26.7,AS38264,Wateen Telecom (Pvt.) Ltd,6653.54,1788336409.7048068
http,111.119.162.248,10918,Pakistan,PK,Tando Adam,elite,true,33.39,AS132165,Connect Communication,14372.85,1788336388.7319667
