protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,111.119.162.248,10925,Pakistan,PK,Tando Adam,elite,true,51.37,AS132165,Connect Communication,2803.6,1790353473.8685975
socks4,111.119.162.248,10923,Pakistan,PK,Tando Adam,elite,true,51.64,AS132165,Connect Communication,3030.59,1790353472.3094604
socks4,111.119.162.248,10936,Pakistan,PK,Tando Adam,elite,true,45.84,AS132165,Connect Communication,4929.86,1790353470.303024
socks4,103.146.137.161,1081,Pakistan,PK,Karachi,elite,true,5.94,AS139879,Galaxy Broadband (pvt.) Ltd.,614.1,1790353470.0331423
socks4,111.119.162.248,10910,Pakistan,PK,Tando Adam,elite,true,54.86,AS132165,Connect Communication,2909.61,1790353469.3657196
socks4,111.119.162.248,10928,Pakistan,PK,Tando Adam,elite,true,53.23,AS132165,Connect Communication,5149.83,1790353469.3645127
socks4,111.119.162.248,10929,Pakistan,PK,Tando Adam,elite,true,50.25,AS132165,Connect Communication,7897.15,1790353468.9409473
socks4,111.119.162.248,10906,Pakistan,PK,Tando Adam,elite,true,51.42,AS132165,Connect Communication,5042.92,1790353468.9265497
socks4,111.119.162.248,10931,Pakistan,PK,Tando Adam,elite,true,52.13,AS132165,Connect Communication,11803.47,1790353464.9498525
socks4,111.119.162.248,10938,Pakistan,PK,Tando Adam,elite,true,38.37,AS132165,Connect Communication,12394.45,1790353464.3827264
socks4,111.119.162.248,10933,Pakistan,PK,Tando Adam,elite,true,37.88,AS132165,Connect Communication,12159.24,1790353464.3609319
socks4,111.119.162.248,10901,Pakistan,PK,Tando Adam,elite,true,53.09,AS132165,Connect Communication,12371.86,1790353464.2633476
socks4,111.119.162.248,10915,Pakistan,PK,Tando Adam,elite,true,56.04,AS132165,Connect Communication,6958.3,1790353464.2153602
socks4,111.119.162.248,10927,Pakistan,PK,Tando Adam,elite,true,54.96,AS132165,Connect Communication,11339.23,1790353463.240858
socks4,111.119.162.248,10935,Pakistan,PK,Tando Adam,elite,true,44.62,AS132165,Connect Communication,2804.35,1790353456.7550082
socks4,111.119.162.248,10930,Pakistan,PK,Tando Adam,elite,true,47.51,AS132165,Connect Communication,3097.77,1790353452.9202576
socks4,111.119.162.248,10900,Pakistan,PK,Tando Adam,elite,true,47.75,AS132165,Connect Communication,13633.72,1790353452.659196
socks4,111.119.162.248,10921,Pakistan,PK,Tando Adam,elite,true,54.0,AS132165,Connect Communication,5290.51,1790353451.997768
socks4,110.38.234.74,1080,Pakistan,PK,Lahore,elite,true,58.85,AS38264,Wateen Telecom (Pvt.) Ltd,3792.84,1790353447.3759437
socks4,111.119.162.248,10919,Pakistan,PK,Tando Adam,elite,true,52.3,AS132165,Connect Communication,3260.82,1790353446.9024825
socks4,111.119.162.248,10908,Pakistan,PK,Tando Adam,elite,true,53.02,AS132165,Connect Communication,15166.94,1790353439.0849519
socks4,111.119.162.248,10924,Pakistan,PK,Tando Adam,elite,true,49.08,AS132165,Connect Communication,14573.32,1790353426.6371033
socks4,125.209.110.83,1981,Pakistan,PK,Karachi,elite,true,15.97,AS9260,Multinet 125-110/24,813.16,1790353425.3441262
