protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,77.83.246.110,2000,Poland,PL,Warsaw,elite,true,90.03,AS215540,Global Connectivity Solutions LLP,7226.73,1784983793.4262514
socks4,185.32.4.65,4153,Poland,PL,Chociwel,elite,true,13.3,AS60645,AS Consulting Sp. z o. o.,1112.39,1784983793.1235194
socks4,46.171.28.162,59311,Poland,PL,Warsaw,elite,true,16.91,AS5617,Orange Polska Spolka Akcyjna,7312.11,1784983792.3149993
socks4,91.150.189.122,60647,Poland,PL,Rzeszów,elite,true,22.88,AS42673,Skyware Sp. z o.o.,210.58,1784983790.9590585
socks4,185.79.243.153,38431,Poland,PL,Myszków,elite,true,16.49,AS206957,PHU Kario-Sat Sp. z o.o.,7234.94,1784983790.8586347
socks4,185.147.69.48,1080,Poland,PL,Rewal,elite,true,42.11,AS203028,Prymas Inwestycje Spolka Z Ograniczona Odpowiedzialnoscia Spolka Komandytowa,105.03,1784983788.6727564
socks5,77.83.246.110,2000,Poland,PL,Warsaw,elite,true,89.94,AS215540,Global Connectivity Solutions LLP,1227.72,1784983784.7531106
http,195.205.134.1,8080,Poland,PL,Warsaw,transparent,false,18.23,AS5617,Orange Polska Spolka Akcyjna,3848.42,1784983776.406111
socks5,88.218.206.170,22,Poland,PL,Łęczyca,elite,true,52.73,AS215467,Skhron OU,6780.42,1784983763.7088425
socks4,88.218.206.170,5432,Poland,PL,Łęczyca,elite,true,62.72,AS215467,Skhron OU,12946.11,1784983754.9976158
http,178.212.144.7,80,Poland,PL,Sokółka,elite,false,98.89,AS51436,IDEALAN Spolka Jawna - Piekarski,50.8,1784983732.9610517
