protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,185.244.84.1,8080,Poland,PL,Kłodzko,transparent,false,26.03,AS60552,"PAWEL BAHRANOWSKI trading as ""BATEX""",2034.81,1786374243.1930447
http,151.115.99.193,10006,Poland,PL,Warsaw,elite,true,98.52,AS12876,SCALEWAY,8524.59,1786374235.4693975
http,178.212.144.7,80,Poland,PL,Sokółka,elite,false,98.94,AS51436,IDEALAN Spolka Jawna - Piekarski,48.27,1786374231.267682
http,148.81.121.5,8080,Poland,PL,Warsaw,transparent,false,15.21,AS1887,WAWPOLIP,9722.03,1786374210.0048773
http,178.42.61.216,3128,Poland,PL,Warsaw,transparent,false,24.74,AS5617,Orange Polska Spolka Akcyjna,8850.56,1786374200.7165482
http,80.51.61.1,8080,Poland,PL,Poniatowa,transparent,false,17.5,AS5617,Orange Polska Spolka Akcyjna,8564.23,1786374175.5485368
http,217.113.235.181,443,Poland,PL,Lodz,anonymous,true,6.61,AS16342,Toya sp. z o.o.,8322.38,1786374170.9033356
http,78.9.232.205,8080,Poland,PL,Świnoujście,transparent,false,10.73,AS12741,Netia SA,9765.57,1786374150.4208324
http,89.125.26.135,8080,Poland,PL,Warsaw,transparent,false,22.16,AS213459,Snowd Security OU,20726.46,1786374119.8464153
http,80.55.169.2,80,Poland,PL,Nochowo,transparent,false,15.95,AS5617,Orange Polska Spolka Akcyjna,9077.87,1786374114.1557593
