protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,57.128.231.218,1002,Poland,PL,Warsaw,elite,true,97.31,AS16276,OVH SAS,183.22,1790147368.5347886
socks5,57.128.231.218,1203,Poland,PL,Warsaw,elite,true,97.88,AS16276,OVH SAS,583.88,1790147366.3225636
socks5,57.128.231.218,1006,Poland,PL,Warsaw,elite,true,100.0,AS16276,OVH SAS,180.26,1790147363.8481948
socks5,57.128.231.218,1200,Poland,PL,Warsaw,elite,true,97.22,AS16276,OVH SAS,3217.22,1790147362.678827
socks5,57.128.231.218,1004,Poland,PL,Warsaw,elite,true,84.76,AS16276,OVH SAS,298.07,1790147357.7572026
socks5,57.128.231.218,1003,Poland,PL,Warsaw,elite,true,98.2,AS16276,OVH SAS,253.69,1790147357.2507873
socks5,57.128.231.218,1008,Poland,PL,Warsaw,elite,true,100.0,AS16276,OVH SAS,177.72,1790147354.3874202
socks5,104.245.245.218,1080,Poland,PL,Warsaw,elite,true,95.97,AS201814,Tier.Net Technologies LLC,164.28,1790147352.992029
socks5,57.128.231.218,1001,Poland,PL,Warsaw,elite,true,71.42,AS16276,OVH SAS,224.71,1790147352.202621
socks5,57.128.231.218,1204,Poland,PL,Warsaw,elite,true,96.7,AS16276,OVH SAS,221.14,1790147338.25593
socks5,57.128.231.218,1005,Poland,PL,Warsaw,elite,true,100.0,AS16276,OVH SAS,154.15,1790147336.2220542
socks5,57.128.231.218,1007,Poland,PL,Warsaw,elite,true,100.0,AS16276,OVH SAS,215.2,1790147316.2590613
socks5,57.128.231.218,1000,Poland,PL,Warsaw,elite,true,82.47,AS16276,OVH SAS,394.01,1790147315.243221
socks5,88.218.206.170,5432,Poland,PL,Łęczyca,elite,true,48.31,AS215467,Skhron OU,6392.47,1790147256.2120981
