protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,190.110.226.122,80,Paraguay,PY,Asunción,elite,false,70.89,AS28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),737.16,1787342093.8216467
http,37.230.57.121,999,Paraguay,PY,Ciudad del Este,transparent,true,8.32,AS270052,Aranda Cardozo Lider Ramon,8011.23,1787342087.2204902
http,190.104.168.27,80,Paraguay,PY,Asunción,elite,false,72.44,AS27895,Núcleo S.A.,6007.18,1787342072.7728953
http,170.245.132.85,999,Paraguay,PY,Asunción,transparent,false,23.42,AS270096,"MACHADO BAEZ, NERY JAVIER",3554.24,1787342071.2013319
http,190.104.134.145,3128,Paraguay,PY,Asunción,transparent,true,5.29,AS27895,Núcleo S.A.,8019.28,1787342037.4198904
http,181.78.27.38,999,Paraguay,PY,Asunción,transparent,false,10.49,AS52468,Ufinet Paraguay S.A,4982.73,1787342006.390516
http,201.222.50.218,80,Paraguay,PY,Asunción,elite,false,69.18,AS28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),882.61,1787342003.4073834
http,37.230.57.106,999,Paraguay,PY,Ciudad del Este,transparent,false,13.94,AS270052,Aranda Cardozo Lider Ramon,8614.65,1787341990.132966
http,181.78.94.23,9991,Paraguay,PY,Asunción,transparent,false,9.44,AS52468,Ufinet Panama S.A.,5114.55,1787341905.240863
http,45.170.131.218,999,Paraguay,PY,Ciudad del Este,transparent,false,27.84,AS61512,Yassin Jaber,3266.93,1787342062.4007456
