protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,170.245.132.82,9000,Paraguay,PY,Carapeguá,transparent,true,16.36,AS270096,"MACHADO BAEZ, NERY JAVIER",9395.3,1785756566.2262053
http,190.128.201.236,3128,Paraguay,PY,Villa Hayes,transparent,false,14.33,AS23201,Telecel S.A.,5204.21,1785756560.724776
http,37.230.57.121,999,Paraguay,PY,Ciudad del Este,transparent,false,8.13,AS270052,Startelecom S.A.,1767.65,1785756558.2024112
http,190.104.168.27,80,Paraguay,PY,Asunción,elite,false,81.32,AS27895,Núcleo S.A.,881.79,1785756553.2210336
http,45.170.128.125,999,Paraguay,PY,Ciudad del Este,transparent,false,9.34,AS61512,GIG@NET SOCIEDAD ANONIMA,6460.05,1785756540.9264636
http,190.110.226.122,80,Paraguay,PY,Asunción,elite,false,69.56,AS28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),3448.08,1785756532.2835622
http,181.78.27.38,999,Paraguay,PY,Asunción,transparent,false,10.58,AS52468,Ufinet Paraguay S.A,6576.28,1785756514.863549
http,181.78.95.59,999,Paraguay,PY,Asunción,transparent,false,26.72,AS52468,Ufinet Paraguay S.A,2159.27,1785756449.224773
http,190.93.177.153,999,Paraguay,PY,Ciudad del Este,transparent,false,14.83,AS262183,Multi Link S.A.,4618.09,1785756436.4848807
http,190.52.165.120,8080,Paraguay,PY,Asunción,transparent,false,13.29,AS27866,CO.PA.CO.,9390.09,1785756426.8668869
