protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,31.148.13.96,1080,Russia,RU,Moscow,elite,true,35.18,AS61372,AZIMUT TELECOM Ltd.,1249.05,1787064598.1374924
socks5,77.50.235.130,1080,Russia,RU,Moscow,elite,true,34.78,AS34602,Megasvyaz LLC,1928.52,1787064598.092991
socks5,89.169.168.25,6101,Russia,RU,Moscow,elite,true,74.46,AS200350,Yandex.Cloud LLC,1615.7,1787064597.799674
http,37.110.145.57,8081,Russia,RU,Moscow,elite,false,85.4,AS42610,NCNET,166.25,1787064597.2014887
socks5,37.18.73.60,5566,Russia,RU,Moscow,elite,true,79.26,AS208677,"""Cloud Technologies"" LLC trading as Cloud.ru",907.93,1787064596.2063391
socks5,176.226.189.32,1080,Russia,RU,Chelyabinsk,elite,true,52.79,AS8369,Intersvyaz-2 JSC,574.11,1787064594.8053913
socks5,85.113.43.181,1080,Russia,RU,Samara,elite,true,19.82,AS34533,"CJSC ""ER-Telecom Holding"" Samara branch",1624.4,1787064593.4517252
socks5,82.114.228.67,1080,Russia,RU,Saratov,elite,true,72.12,AS48763,SCTS,3323.23,1787064592.5535724
socks5,130.193.43.183,1080,Russia,RU,Moscow,elite,true,97.26,AS200350,Yandex enterprise network,288.63,1787064592.117573
socks5,95.31.220.59,8080,Russia,RU,Moscow,elite,true,42.14,AS8402,CORBINA-BROADBAND,10427.13,1787064590.4315374
socks5,104.171.133.81,1080,Russia,RU,Moscow,elite,true,18.26,AS9123,"JSC ""TIMEWEB""",366.25,1787064589.852081
socks5,213.226.122.5,7788,Russia,RU,Krasnodar,elite,true,34.74,AS44149,Ubilink LLC,7711.53,1787064589.6291864
socks5,109.225.40.247,9999,Russia,RU,Kaluga,elite,true,11.61,AS15468,KLGELECS,720.63,1787064589.521055
socks4,91.206.92.212,9050,Russia,RU,Moscow,elite,true,28.83,AS51659,LLC Baxet,7884.02,1787064589.3091648
socks4,109.106.196.250,4145,Russia,RU,Moscow,elite,true,20.79,AS31163,PJSC MegaFon,7433.81,1787064589.1569033
socks5,85.143.254.38,1080,Russia,RU,St Petersburg,elite,true,35.24,AS56534,Comfortel Ltd.,738.72,1787064587.8412664
socks5,195.19.50.126,1080,Russia,RU,Moscow,elite,true,32.33,AS57529,ZAO GTNT,1202.03,1787064587.7267754
socks5,109.200.111.171,1080,Russia,RU,Pyshma,elite,true,69.04,AS41560,UGMK-Telecom network,7829.98,1787064586.6619875
http,46.39.252.111,8080,Russia,RU,Obruchevo,transparent,false,76.64,AS29124,Iskratelecom JSC,3383.63,1787064586.2568903
socks4,89.250.148.158,1080,Russia,RU,Tyumen,elite,true,38.79,AS41682,"JSC ""ER-Telecom Holding""",353.48,1787064585.690934
http,46.47.197.210,3128,Russia,RU,St Petersburg,elite,false,60.59,AS20632,PJSC Megafon SZF,406.56,1787064582.215363
socks5,92.101.193.58,1080,Russia,RU,Murmansk,elite,true,38.96,AS12389,Rostelecom networks,7933.88,1787064581.7931252
socks5,46.146.242.142,1080,Russia,RU,Perm,elite,true,49.43,AS12768,"OJSC ""ER-Telecom"" Perm'",517.12,1787064581.3822846
socks5,185.47.55.110,1080,Russia,RU,St Petersburg,elite,true,17.19,AS56534,Comfortel-INET,1674.07,1787064580.7771175
socks5,94.233.120.194,1080,Russia,RU,Volgograd,elite,true,42.58,AS12389,Rostelecom,870.52,1787064577.3606024
socks4,158.160.159.18,1080,Russia,RU,Moscow,elite,true,26.39,AS200350,Yandex.Cloud LLC,7000.57,1787064576.313565
socks4,89.169.168.25,6101,Russia,RU,Moscow,elite,true,78.64,AS200350,Yandex.Cloud LLC,1386.7,1787064575.5666862
socks4,178.57.106.43,4145,Russia,RU,Cherepovets,elite,true,39.14,AS61403,SEVER-TELECOM,253.07,1787064574.1080358
socks5,176.53.182.170,1080,Russia,RU,Moscow,elite,true,84.02,AS203714,LLC Flex,15679.59,1787064572.0121677
socks4,195.68.145.5,80,Russia,RU,Tver,elite,true,27.48,AS3216,"PJSC ""Vimpelcom""",3390.34,1787064571.9890885
socks5,109.172.30.195,1080,Russia,RU,Moscow,elite,true,37.94,AS29182,JSC IOT,10325.33,1787064570.096024
socks5,95.31.16.116,1081,Russia,RU,Moscow,elite,true,99.24,AS8402,CORBINA-BROADBAND,538.02,1787064567.7361882
socks5,144.31.222.106,7890,Russia,RU,Moscow,elite,true,62.68,AS202831,Ablaykhan Akylbekovich Sharimov,1308.12,1787064566.7562823
http,159.194.228.40,8888,Russia,RU,St Petersburg,elite,true,79.97,AS198610,Beget LLC,786.33,1787064564.8320556
socks5,176.119.246.211,1080,Russia,RU,Slyudyanka,elite,true,9.9,AS58304,NPF KTS Ltd.,15983.95,1787064559.6879766
http,185.35.130.144,54782,Russia,RU,Malgobek,transparent,false,30.27,AS62440,Plazmatelekom LLC,2878.37,1787064559.544569
socks5,186.246.14.108,9151,Russia,RU,Novosibirsk,elite,true,33.95,AS57494,Adman LLC,10863.53,1787064557.2184541
socks4,176.32.33.164,1080,Russia,RU,Kazan',elite,true,34.06,AS51659,LLC Baxet,8265.28,1787064555.6961946
http,195.133.53.59,10808,Russia,RU,Novosibirsk,elite,false,53.08,AS49392,LLC Baxet,13115.5,1787064554.1468897
http,82.114.228.67,1080,Russia,RU,Saratov,elite,true,63.97,AS48763,SCTS,5331.64,1787064552.9771733
socks5,85.198.102.172,1080,Russia,RU,Moscow,elite,true,20.26,AS198610,Beget LLC,3880.41,1787064552.640535
socks4,95.31.220.59,8080,Russia,RU,Moscow,elite,true,41.17,AS8402,CORBINA-BROADBAND,3918.47,1787064549.1304843
http,91.218.244.153,8989,Russia,RU,Moscow,elite,false,8.72,AS50867,Hostkey B.V.,5620.23,1787064543.8368108
http,37.112.57.20,8080,Russia,RU,Bryansk,elite,false,11.37,AS57044,"CJSC ""ER-Telecom Holding"" Bryansk branch",8370.95,1787064529.5469737
socks5,89.191.229.141,1080,Russia,RU,St Petersburg,elite,true,29.28,AS9123,"JSC ""TIMEWEB""",8583.77,1787064527.7194114
http,91.203.179.72,65056,Russia,RU,Smolensk,elite,true,6.83,AS47118,MAN net Ltd.,3585.47,1787064523.5725372
http,185.112.224.243,33128,Russia,RU,Abakan,elite,false,12.48,AS50427,Orion Telecom LLC,3684.03,1787064514.1955361
http,5.165.225.172,3128,Russia,RU,Yekaterinburg,elite,false,49.64,AS51604,"CJSC ""ER-Telecom Holding"" Yekaterinburg branch",6652.59,1787064513.60404
http,82.148.13.136,80,Russia,RU,Moscow,elite,false,50.85,AS50340,JSC Selectel,12666.51,1787064508.210942
http,195.133.73.105,10808,Russia,RU,Moscow,elite,true,90.77,AS9123,"JSC ""TIMEWEB""",11277.62,1787064504.5484715
http,91.224.77.229,8090,Russia,RU,Moscow,transparent,true,27.27,AS44927,LLC Telecom MPK,8977.12,1787064496.373096
http,85.198.82.207,1080,Russia,RU,Moscow,elite,true,63.98,AS9123,"JSC ""TIMEWEB""",1389.79,1787064494.9924276
http,185.125.18.5,3128,Russia,RU,Moscow,transparent,true,32.03,AS62222,QuickSoft LLC,10891.31,1787064484.5528736
http,85.30.219.207,80,Russia,RU,Shchyolkovo,transparent,false,9.92,AS42610,National Cable Networks,1205.36,1787064478.3487542
http,62.109.1.115,3128,Russia,RU,Khimki,elite,false,23.01,AS29182,WEBDC,6381.57,1787064469.4969614
http,94.247.244.120,3128,Russia,RU,St Petersburg,transparent,false,9.73,AS41733,Teleport Sankt-Peterburg Networks,17381.25,1787064455.19282
http,92.39.129.50,1256,Russia,RU,Moscow,transparent,false,32.72,AS8595,OOO WestCall Ltd,12407.87,1787064451.1299868
