protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,185.125.19.32,3128,Russia,RU,Moscow,transparent,true,36.11,AS62222,QuickSoft LLC,10027.06,1788410352.1153398
http,85.198.100.232,13100,Russia,RU,Moscow,elite,true,99.95,AS198610,Beget LLC,180.19,1788410351.9364474
http,46.47.197.210,3128,Russia,RU,St Petersburg,elite,false,61.72,AS20632,PJSC Megafon SZF,244.33,1788410350.5358143
http,176.99.134.183,8090,Russia,RU,Moscow,elite,false,92.39,AS35598,Inetcom Carrier LLC,3758.18,1788410348.8883405
http,185.212.88.243,8080,Russia,RU,Moscow,transparent,true,19.43,AS21140,Fly Telecom LLC,7019.32,1788410346.4271343
http,92.49.177.213,8080,Russia,RU,Orenburg,transparent,false,20.31,AS12389,Orenburg branch office of VolgaTelecom company,1582.71,1788410341.5049334
http,95.84.164.92,8998,Russia,RU,Moscow,transparent,true,14.12,AS42610,NCNET,2494.89,1788410339.5409675
http,82.148.13.136,80,Russia,RU,Moscow,elite,false,54.33,AS50340,JSC Selectel,12226.64,1788410338.0642097
http,87.229.205.227,8080,Russia,RU,Moscow,transparent,false,11.91,AS3216,OJSC Vimpelcom HQ,6475.69,1788410335.9635625
http,37.110.145.57,8081,Russia,RU,Moscow,elite,false,79.92,AS42610,NCNET,11443.51,1788410326.804604
http,88.84.223.156,5650,Russia,RU,Noginsk,transparent,false,26.6,AS21453,Flex ISP,2688.77,1788410291.584697
http,80.252.137.246,1194,Russia,RU,Noginsk,elite,false,23.44,AS21453,for Flex Ltd,4178.66,1788410280.2596502
http,213.178.39.170,8080,Russia,RU,Tolyatti,elite,false,5.76,AS8439,AIST Networks,13940.64,1788410278.3348331
http,158.160.8.144,3129,Russia,RU,Moscow,transparent,true,28.96,AS200350,Yandex.Cloud LLC,6993.13,1788410268.9275427
http,91.191.228.126,3128,Russia,RU,Yekaterinburg,transparent,false,23.1,AS12668,"LLC ""KomTehCentr""",4969.73,1788410263.224711
http,185.167.120.182,8080,Russia,RU,Moscow,transparent,true,13.99,AS207056,Maloe Innovacionnoe Predpriyatie Bonch IT LLC,2214.29,1788410261.9198756
http,159.194.228.40,8888,Russia,RU,St Petersburg,elite,true,76.95,AS198610,Beget LLC,816.59,1788410259.019699
http,194.113.234.125,9898,Russia,RU,Elista,elite,false,26.86,AS211791,Megaset LLC,6143.92,1788410258.3392956
http,89.111.171.19,3128,Russia,RU,Moscow,transparent,true,14.96,AS197695,"""Domain names registrar REG.RU"", Ltd",16751.37,1788410257.5007927
http,87.241.198.70,8080,Russia,RU,Moscow,transparent,true,21.89,AS12772,MVP EVGENIYA,7549.79,1788410257.1760411
http,212.67.31.235,8080,Russia,RU,Irkutsk,transparent,false,8.34,AS50187,BaikalWestCom,14184.2,1788410254.065342
http,79.111.13.155,50625,Russia,RU,Moscow,elite,true,16.28,AS12714,PJSC MegaFon,17153.07,1788410249.0207229
http,95.46.148.11,8080,Russia,RU,Tyumen,transparent,false,25.44,AS60245,Sannikov Kirill Vladimirovich,10364.45,1788410244.7953334
http,194.87.43.46,8080,Russia,RU,Moscow,transparent,false,11.76,AS9123,"JSC ""TIMEWEB""",6977.54,1788410244.467202
http,195.190.107.62,3389,Russia,RU,Moscow,transparent,false,16.62,AS3216,"PJSC ""Vimpelcom""",13113.13,1788410243.228932
http,188.235.35.223,3128,Russia,RU,Voronezh,transparent,false,25.91,AS50542,"CJSC ""ER-Telecom Holding"" Voronezh branch",7153.36,1788410235.396769
http,194.226.49.218,1080,Russia,RU,Moscow,transparent,true,16.4,AS43581,LLC ZTV CORP,13259.59,1788410230.0898888
http,212.44.134.166,3128,Russia,RU,Novlyanka,transparent,true,30.96,AS3216,"PJSC ""Vimpelcom""",5260.19,1788410228.06108
http,213.232.192.215,4567,Russia,RU,Moscow,transparent,false,30.0,AS50340,JSC Selectel,4410.09,1788410221.847346
http,95.31.32.90,8080,Russia,RU,Moscow,transparent,false,25.2,AS8402,CORBINA-BROADBAND,2441.99,1788410208.8148162
http,185.234.229.132,8000,Russia,RU,Irkutsk,transparent,false,6.0,AS50187,BaikalWestCom,14158.81,1788410205.7545972
http,46.39.252.111,8080,Russia,RU,Obruchevo,transparent,false,75.96,AS29124,Iskratelecom JSC,1377.7,1788410205.033339
http,89.179.119.212,8080,Russia,RU,Moscow,transparent,false,22.5,AS8402,"PJSC ""Vimpelcom""",11863.79,1788410199.3402107
