protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,130.17.2.209,3128,Russia,RU,Moscow,elite,true,87.13,AS48018,Fornex Hosting S.L.,165.18,1786118338.6311448
http,176.120.28.106,8080,Russia,RU,Tomsk,elite,true,88.82,AS51740,ZING,1903.53,1786118311.9513614
http,95.84.164.92,8998,Russia,RU,Moscow,transparent,true,13.61,AS42610,NCNET,5908.83,1786118307.7937343
http,80.82.55.71,80,Russia,RU,Voronezh,transparent,true,7.36,AS21017,CenterTelecom Voronezh ISP,5252.41,1786118305.4424422
http,185.239.50.122,10808,Russia,RU,Moscow,elite,true,87.53,AS211183,AdminVPS LLC,5583.09,1786118298.8954148
http,185.103.134.36,8080,Russia,RU,Moscow,elite,true,5.86,AS215116,Address AS 57191,4492.52,1786118297.8099902
http,45.144.30.59,808,Russia,RU,Moscow,elite,true,42.09,AS33993,UFO Hosting LLC,392.89,1786118295.2654564
http,5.165.225.172,3128,Russia,RU,Yekaterinburg,elite,true,50.61,AS51604,"CJSC ""ER-Telecom Holding"" Yekaterinburg branch",7128.08,1786118294.6449704
http,5.42.105.100,10808,Russia,RU,Moscow,elite,true,67.45,AS9123,"JSC ""TIMEWEB""",11206.59,1786118281.8024523
http,85.198.100.232,3128,Russia,RU,Moscow,anonymous,true,45.75,AS198610,Beget LLC,14042.94,1786118271.4887533
http,45.91.55.95,443,Russia,RU,Moscow,elite,true,51.83,AS213220,Delta Ltd,5302.97,1786118247.9582784
http,194.226.49.218,1080,Russia,RU,Moscow,transparent,true,7.49,AS43581,LLC ZTV CORP,164.38,1786118247.641984
http,92.39.129.50,1256,Russia,RU,Moscow,transparent,true,34.61,AS8595,OOO WestCall Ltd,1893.55,1786118246.5217187
http,95.165.97.185,8080,Russia,RU,Moscow,transparent,true,25.36,AS25513,Moscow Local Telephone Network (OAO MGTS),5522.4,1786118235.2452924
http,92.62.149.82,8080,Russia,RU,Orenburg,transparent,true,14.53,AS47684,FCOMM,4406.37,1786118211.7364373
http,188.235.35.223,3128,Russia,RU,Voronezh,transparent,true,31.03,AS50542,"CJSC ""ER-Telecom Holding"" Voronezh branch",3230.94,1786118204.7234716
