protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,176.192.41.172,4444,Russia,RU,Moscow,elite,true,44.71,AS12714,Net By Net Holding LLC,266.72,1780189203.43623
socks4,195.133.250.173,3128,Russia,RU,Moscow,elite,true,27.9,AS29226,JSC Mastertel,338.55,1780189197.8433669
socks4,193.233.137.130,1081,Russia,RU,Moscow,elite,true,93.18,AS210644,OOO FREEnet Group,160.0,1780189197.6202657
socks4,77.232.142.77,31336,Russia,RU,Moscow,elite,true,93.22,AS210644,Aeza International LTD,360.1,1780189195.350683
socks4,188.120.227.46,1080,Russia,RU,Moscow,elite,true,71.07,AS29182,JSC IOT,208.82,1780189193.746322
socks4,46.8.104.176,1080,Russia,RU,St Petersburg,elite,true,61.03,AS207952,Evro Telecom OOO,242.44,1780189192.87547
socks4,188.127.224.164,2080,Russia,RU,Moscow,elite,true,56.49,AS56694,LLC Smart Ape,3353.88,1780189192.1597703
socks4,80.80.105.131,1080,Russia,RU,Rostov-on-Don,elite,true,61.55,AS8359,CTSRND-NETWORK,469.27,1780189189.3824956
socks4,72.56.246.250,1080,Russia,RU,Moscow,elite,true,80.67,AS9123,"JSC ""TIMEWEB""",251.25,1780189188.6250932
socks4,193.124.64.142,1080,Russia,RU,Moscow,elite,true,34.61,AS48282,MTW : RUCLOUD,8561.52,1780189183.5577176
socks4,178.57.106.43,4145,Russia,RU,Cherepovets,elite,true,39.38,AS61403,SEVER-TELECOM,420.28,1780189183.108978
socks4,84.201.144.65,10003,Russia,RU,Moscow,elite,true,30.21,AS200350,Yandex Cloud,14919.93,1780189182.248692
socks4,89.110.98.72,9050,Russia,RU,Moscow,elite,true,35.48,AS48282,Hosting technology LTD,8610.21,1780189181.2700574
socks4,46.161.4.153,4444,Russia,RU,St Petersburg,elite,true,30.35,AS212128,"LLC ""HORIZON""",4133.54,1780189180.8975394
socks4,37.193.125.68,1090,Russia,RU,Novosibirsk,elite,true,59.14,AS31200,Novotelecom Ltd,748.6,1780189180.2486706
socks4,155.212.133.136,1080,Russia,RU,Moscow,elite,true,34.04,AS198610,Beget LLC,4506.57,1780189179.4167054
socks4,194.67.120.221,1080,Russia,RU,Moscow,elite,true,53.99,AS197695,"""Domain names registrar REG.RU"", Ltd",2231.9,1780189173.2159808
socks4,130.49.218.108,1080,Russia,RU,Moscow,elite,true,80.5,AS215540,LLC Vpsville,58.93,1780189173.1334922
socks4,45.89.188.31,1082,Russia,RU,Moscow,elite,true,77.06,AS50340,Selectel,18681.46,1780189172.9903336
socks4,195.2.67.21,1080,Russia,RU,Moscow,elite,true,29.66,AS48282,VDSINA,9699.93,1780189172.8758667
socks4,80.89.128.90,1080,Russia,RU,Novosibirsk,elite,true,30.84,AS21127,ZSTTK,585.81,1780189159.0246758
socks4,109.71.245.79,1080,Russia,RU,Moscow,elite,true,72.53,AS9123,"JSC ""TIMEWEB""",533.11,1780189158.3843102
socks4,46.243.14.8,1080,Russia,RU,Georgiyevsk,elite,true,53.69,AS49759,"SerDi TeleCom, LTD",1360.8,1780189157.8640318
socks4,85.113.204.41,8080,Russia,RU,Yaroslavl,elite,true,47.25,AS13118,Yaroslavsky Branch,283.67,1780189155.4350688
socks4,91.223.32.106,1080,Russia,RU,Solnechnogorsk,elite,true,18.61,AS198137,OOO Net-Nord,4935.25,1780189135.8893447
socks4,92.42.8.20,4145,Russia,RU,Zheleznovodsk,elite,true,6.04,AS44963,KMVtelecom,370.97,1780189205.3998113
socks4,89.250.148.158,1080,Russia,RU,Tyumen,elite,true,40.36,AS41682,"JSC ""ER-Telecom Holding""",334.38,1780189200.4794285
socks4,89.237.32.33,51549,Russia,RU,Novotroitsk,elite,true,2.4,AS20485,multi-origin SUTTK,1446.05,1780189199.7408512
socks4,195.68.145.5,80,Russia,RU,Moscow,elite,true,29.03,AS3216,"PJSC ""Vimpelcom""",364.1,1780189196.7423372
socks4,45.150.39.15,1080,Russia,RU,Moscow,elite,true,23.67,AS48282,Hosting technology LTD,1570.16,1780189193.3146737
socks4,213.248.39.166,4153,Russia,RU,Moscow,elite,true,26.1,AS12695,Digital Network JSC,223.18,1780189187.1770444
socks4,92.39.69.134,11200,Russia,RU,Kirov,elite,true,16.56,AS8359,Mobile Telesystems OJSC,4554.76,1780189186.865091
socks4,94.247.241.70,51006,Russia,RU,St Petersburg,elite,true,13.73,AS41733,"JSC ""ER-Telecom Holding""",594.01,1780189174.1776886
socks4,185.182.65.64,1080,Russia,RU,Moscow,elite,true,83.37,AS33842,Citytelecom LLC,297.4,1780189171.451329
socks4,45.140.169.241,1081,Russia,RU,Moscow,elite,true,37.27,AS51659,LLC Baxet,18614.81,1780189170.3463774
socks4,92.42.8.5,4145,Russia,RU,Zheleznovodsk,elite,true,26.02,AS44963,KMVtelecom,1482.55,1780189149.1846926
socks4,213.87.101.134,1080,Russia,RU,Blagoveshchensk,elite,true,45.61,AS8359,PJSC Mobile TeleSystems Buryatiya Ulan-Ude branch,8076.83,1780189198.653806
socks4,212.46.242.185,1080,Russia,RU,Moscow,elite,true,44.53,AS3216,SOVINTEL/END broadband internet,1329.87,1780189191.4327178
