protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,89.22.230.4,7890,Sweden,SE,Stockholm,elite,true,94.25,AS210644,xorek.cloud International LTD,227.47,1780195143.4555569
socks4,109.120.133.253,9999,Sweden,SE,Stockholm,elite,true,36.26,AS210644,Aeza International LTD,7557.02,1780195139.406051
socks4,147.45.76.207,8080,Sweden,SE,Stockholm,elite,true,100.0,AS210644,Aeza International LTD,276.26,1780195138.6042058
socks5,176.124.207.151,31176,Sweden,SE,Stockholm,elite,true,17.62,AS210644,xorek.cloud International LTD,3720.08,1780195134.2069297
socks4,89.22.225.204,8080,Sweden,SE,Stockholm,elite,true,77.78,AS210644,xorek.cloud International LTD,244.06,1780195133.487763
http,147.45.76.207,3128,Sweden,SE,Stockholm,elite,true,100.0,AS210644,Aeza International LTD,133.53,1780195133.452692
socks5,109.120.133.253,9999,Sweden,SE,Stockholm,elite,true,29.37,AS210644,Aeza International LTD,17437.49,1780195127.9610531
socks5,89.22.225.204,8080,Sweden,SE,Stockholm,elite,true,72.19,AS210644,xorek.cloud International LTD,401.52,1780195126.1898398
http,138.124.18.198,8080,Sweden,SE,Stockholm,elite,false,19.61,AS210644,Aeza International LTD,3033.49,1780195125.343849
socks5,147.45.76.207,8080,Sweden,SE,Stockholm,elite,true,100.0,AS210644,Aeza International LTD,204.89,1780195119.3040195
socks4,45.80.231.251,1080,Sweden,SE,Stockholm,elite,true,93.76,AS210644,Aeza International LTD,416.95,1780195117.3980033
socks5,147.45.72.212,44816,Sweden,SE,Stockholm,elite,true,26.85,AS210644,Aeza International LTD,6488.18,1780195116.1937747
socks4,138.124.102.114,1080,Sweden,SE,Stockholm,elite,true,33.28,AS210644,Aeza International LTD,812.71,1780195112.8732746
http,89.22.225.204,8080,Sweden,SE,Stockholm,elite,true,70.74,AS210644,xorek.cloud International LTD,128.53,1780195099.6628134
http,147.45.75.124,8080,Sweden,SE,Stockholm,elite,true,87.87,AS210644,Aeza International LTD,140.09,1780195098.3463094
socks5,171.25.158.95,1080,Sweden,SE,Vaxjo,elite,true,98.06,AS35100,Patrik Lagerman,605.37,1780195091.0717804
socks5,176.126.70.111,16379,Sweden,SE,Stockholm,elite,true,74.47,AS63473,HostHatch,15063.64,1780195059.955967
http,89.22.230.4,7890,Sweden,SE,Stockholm,elite,true,93.75,AS210644,xorek.cloud International LTD,205.44,1780195059.757644
http,45.80.231.251,3128,Sweden,SE,Stockholm,elite,true,90.67,AS210644,Aeza International LTD,155.32,1780195044.250093
socks5,138.124.102.114,1080,Sweden,SE,Stockholm,elite,true,32.86,AS210644,Aeza International LTD,8701.44,1780195020.9097462
socks5,45.80.231.251,1080,Sweden,SE,Stockholm,elite,true,91.05,AS210644,Aeza International LTD,1265.81,1780195019.939782
http,91.186.217.84,3128,Sweden,SE,Stockholm,transparent,false,17.49,AS203273,NetCrafters OU,16373.2,1780194946.5314417
socks4,89.22.232.239,1080,Sweden,SE,Stockholm,elite,true,26.58,AS210644,xorek.cloud International LTD,10427.81,1780195189.4170508
socks5,212.113.103.27,38730,Sweden,SE,Stockholm,elite,true,14.61,AS210644,xorek.cloud International LTD,10597.87,1780195176.8272536
socks4,212.113.103.27,38730,Sweden,SE,Stockholm,elite,true,24.37,AS210644,xorek.cloud International LTD,8483.93,1780195164.262726
socks5,89.22.230.4,7890,Sweden,SE,Stockholm,elite,true,96.3,AS210644,xorek.cloud International LTD,662.37,1780195093.5442944
socks4,62.60.230.196,1080,Sweden,SE,Stockholm,elite,true,20.82,AS210644,Aeza International LTD,3697.56,1780195195.2244685
socks4,62.60.149.161,1080,Sweden,SE,Stockholm,elite,true,92.08,AS210644,Aeza International LTD,186.42,1780195180.3387737
socks5,62.60.149.161,1080,Sweden,SE,Stockholm,elite,true,86.85,AS210644,Aeza International LTD,297.54,1780195136.9924474
http,62.60.149.161,3128,Sweden,SE,Stockholm,elite,true,84.03,AS210644,Aeza International LTD,1867.62,1780195111.0638611
