protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,147.45.75.124,8080,Sweden,SE,Stockholm,elite,true,87.95,AS210644,Aeza International LTD,139.16,1780198494.5687954
http,45.80.231.251,3128,Sweden,SE,Stockholm,elite,true,90.7,AS210644,Aeza International LTD,15466.22,1780198478.9957993
http,89.22.230.4,7890,Sweden,SE,Stockholm,elite,true,92.93,AS210644,xorek.cloud International LTD,161.08,1780198471.895436
http,147.45.76.207,3128,Sweden,SE,Stockholm,elite,true,100.0,AS210644,Aeza International LTD,190.76,1780198470.2761674
http,193.181.35.93,8118,Sweden,SE,Stockholm,elite,false,11.71,AS42201,PVDataNet AB,1022.08,1780198468.1919348
http,138.124.18.198,8080,Sweden,SE,Stockholm,elite,false,19.8,AS210644,Aeza International LTD,2521.6,1780198451.4077477
http,193.148.58.181,3128,Sweden,SE,Stockholm,elite,false,21.05,AS41745,Baykov Ilya Sergeevich,19711.42,1780198448.327928
http,193.181.35.209,8118,Sweden,SE,Stockholm,elite,false,9.03,AS42201,PVDataNet AB,373.13,1780198358.7045226
http,185.106.183.85,8080,Sweden,SE,Värmdö Municipality,elite,false,99.41,AS60662,Data Communication & Software i Grondal Aktiebolag,139.58,1780198496.3054762
http,62.60.149.161,3128,Sweden,SE,Stockholm,elite,true,84.02,AS210644,Aeza International LTD,7290.57,1780198391.4681497
