protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,89.22.238.103,38871,Sweden,SE,Stockholm,elite,true,19.85,AS210644,xorek.cloud International LTD,3883.71,1780232639.507571
socks5,89.22.230.4,7890,Sweden,SE,Stockholm,elite,true,90.15,AS210644,xorek.cloud International LTD,10770.56,1780232636.0674736
socks5,109.120.133.253,9999,Sweden,SE,Stockholm,elite,true,29.94,AS210644,Aeza International LTD,12398.45,1780232626.289179
socks5,171.25.158.95,1080,Sweden,SE,Vaxjo,elite,true,98.15,AS35100,Patrik Lagerman,549.01,1780232614.114658
socks5,147.45.76.207,8080,Sweden,SE,Stockholm,elite,true,100.0,AS210644,Aeza International LTD,506.6,1780232613.6459234
socks5,45.80.231.251,1080,Sweden,SE,Stockholm,elite,true,91.86,AS210644,Aeza International LTD,1733.4,1780232594.242639
socks5,138.124.102.114,1080,Sweden,SE,Stockholm,elite,true,34.79,AS210644,Aeza International LTD,6668.37,1780232592.0328236
socks5,89.22.225.204,8080,Sweden,SE,Stockholm,elite,true,72.44,AS210644,xorek.cloud International LTD,6476.54,1780232586.3831606
socks5,138.124.18.198,1080,Sweden,SE,Stockholm,elite,true,80.35,AS210644,Aeza International LTD,4328.09,1780232565.4246774
socks5,176.126.70.111,16379,Sweden,SE,Stockholm,elite,true,76.54,AS63473,HostHatch,7130.9,1780232541.9049034
socks5,176.124.207.151,31176,Sweden,SE,Stockholm,elite,true,17.87,AS210644,xorek.cloud International LTD,3026.78,1780232506.4516203
socks5,212.113.103.27,38730,Sweden,SE,Stockholm,elite,true,15.29,AS210644,xorek.cloud International LTD,9813.41,1780232633.4893427
socks5,62.60.230.196,1080,Sweden,SE,Stockholm,elite,true,17.6,AS210644,Aeza International LTD,1048.3,1780232706.3904917
socks5,62.60.149.161,1080,Sweden,SE,Stockholm,elite,true,87.13,AS210644,Aeza International LTD,201.81,1780232686.0635788
