protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,152.42.167.241,3128,Singapore,SG,Singapore,elite,true,98.08,AS14061,"DigitalOcean, LLC",498.74,1787690965.0766854
socks5,47.84.102.47,8080,Singapore,SG,Singapore,elite,true,29.92,AS45102,Alibaba.com LLC,2492.69,1787690964.6991389
socks5,43.156.70.98,8080,Singapore,SG,Singapore,elite,true,87.33,AS132203,Shenzhen Tencent Computer Systems Company Limited,962.72,1787690964.115474
socks4,43.160.255.142,7890,Singapore,SG,Singapore,elite,true,90.63,AS132203,Aceville Pte.ltd,644.09,1787690963.195603
http,47.237.138.184,3128,Singapore,SG,Singapore,elite,true,52.54,AS45102,"Alibaba (US) Technology Co., Ltd.",1762.18,1787690961.4324787
socks5,43.160.255.142,7890,Singapore,SG,Singapore,elite,true,89.68,AS132203,Aceville Pte.ltd,804.9,1787690960.6850123
socks5,47.237.138.184,1080,Singapore,SG,Singapore,elite,true,57.84,AS45102,"Alibaba (US) Technology Co., Ltd.",6090.68,1787690955.775127
http,43.160.255.142,7890,Singapore,SG,Singapore,elite,false,48.21,AS132203,Aceville Pte.ltd,1411.92,1787690952.8638482
socks5,104.248.151.220,57554,Singapore,SG,Singapore,elite,true,40.45,AS14061,"DigitalOcean, LLC",6817.5,1787690952.8018517
socks4,45.32.121.119,10808,Singapore,SG,Singapore,elite,true,91.72,AS20473,The Constant Company,10157.71,1787690952.083551
socks5,192.229.85.39,33142,Singapore,SG,Singapore,elite,true,71.52,AS138995,Antbox Networks Limited,9624.56,1787690951.8978999
socks5,202.95.15.6,1080,Singapore,SG,Singapore,elite,true,62.36,AS152194,CTG Server Limited,1113.32,1787690951.2956147
socks4,192.229.85.39,33142,Singapore,SG,Singapore,elite,true,74.4,AS138995,Antbox Networks Limited,10372.99,1787690950.6793451
http,43.160.242.118,3128,Singapore,SG,Singapore,elite,true,92.14,AS132203,Shenzhen Tencent Computer Systems Company Limited,403.67,1787690940.0419066
http,47.84.84.1,3128,Singapore,SG,Singapore,elite,false,99.55,AS45102,Alibaba.com LLC,934.88,1787690939.5126865
socks4,43.160.219.223,1080,Singapore,SG,Singapore,elite,true,15.68,AS132203,Shenzhen Tencent Computer Systems Company Limited,1832.43,1787690939.1324959
socks4,34.124.190.108,8080,Singapore,SG,Singapore,elite,true,48.76,AS396982,Google LLC,13517.36,1787690931.6928992
http,43.98.172.166,3128,Singapore,SG,Singapore,transparent,true,92.77,AS45102,"Alibaba (US) Technology Co., Ltd.",425.31,1787690930.983362
http,8.219.97.248,80,Singapore,SG,Singapore,elite,true,65.7,AS45102,Alibaba Cloud (Singapore) Private Limited,737.93,1787690927.2328362
http,129.150.39.185,3128,Singapore,SG,Singapore,transparent,true,22.03,AS31898,Oracle Corporation,399.15,1787690926.0739448
socks5,167.71.204.247,9050,Singapore,SG,Singapore,elite,true,24.67,AS14061,"DigitalOcean, LLC",15753.85,1787690925.344362
socks5,34.124.190.108,8080,Singapore,SG,Singapore,elite,true,82.18,AS396982,Google LLC,15546.67,1787690924.7149515
socks5,47.236.177.236,1080,Singapore,SG,Singapore,elite,true,60.62,AS45102,"Alibaba (US) Technology Co., Ltd.",943.12,1787690919.074511
socks4,47.237.2.245,9098,Singapore,SG,Singapore,elite,true,1.09,AS45102,"Alibaba (US) Technology Co., Ltd.",4165.9,1787690914.3035564
socks5,45.32.121.119,10808,Singapore,SG,Singapore,elite,true,90.5,AS20473,The Constant Company,3094.89,1787690908.1168098
socks4,47.237.2.245,119,Singapore,SG,Singapore,elite,true,1.26,AS45102,"Alibaba (US) Technology Co., Ltd.",11224.37,1787690907.321022
http,165.245.187.193,3128,Singapore,SG,Singapore,elite,true,44.72,AS14061,"DigitalOcean, LLC",437.03,1787690891.7884123
http,114.29.239.238,3128,Singapore,SG,Singapore,transparent,false,42.42,AS36007,"Kamatera, Inc.",14384.26,1787690879.991007
http,13.214.155.223,8082,Singapore,SG,Singapore,transparent,true,51.09,AS16509,Amazon Technologies Inc.,10975.56,1787690861.9377763
http,160.30.120.20,8080,Singapore,SG,Singapore,transparent,false,57.33,AS140362,Zhongchou Pte. LTD,3503.83,1787690859.0053525
http,143.198.85.218,3128,Singapore,SG,Singapore,anonymous,true,43.28,AS14061,"DigitalOcean, LLC",13084.22,1787690802.0797567
