protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,143.198.199.176,3128,Singapore,SG,Singapore,transparent,true,69.03,AS14061,"DigitalOcean, LLC",3820.48,1790319543.9192202
http,8.219.97.248,80,Singapore,SG,Singapore,elite,false,66.3,AS45102,Alibaba Cloud (Singapore) Private Limited,3214.52,1790319537.221402
http,43.98.172.166,3128,Singapore,SG,Singapore,transparent,false,97.8,AS45102,"Alibaba (US) Technology Co., Ltd.",1096.2,1790319514.838129
http,47.237.113.119,4145,Singapore,SG,Singapore,elite,false,0.95,AS45102,"Alibaba (US) Technology Co., Ltd.",2311.91,1790319502.5756974
http,129.150.39.242,8118,Singapore,SG,Singapore,elite,false,5.23,AS31898,Oracle Corporation,11404.68,1790319494.818713
http,51.79.147.161,30007,Singapore,SG,Singapore,elite,true,90.16,AS16276,OVH SAS,11590.27,1790319485.2329617
http,47.237.113.119,1720,Singapore,SG,Singapore,elite,true,0.95,AS45102,"Alibaba (US) Technology Co., Ltd.",2313.86,1790319484.6517186
http,47.84.135.103,8080,Singapore,SG,Singapore,transparent,false,38.97,AS45102,Alibaba.com LLC,14297.53,1790319438.484781
http,8.219.74.197,8081,Singapore,SG,Singapore,elite,false,73.55,AS45102,Alibaba Cloud (Singapore) Private Limited,5239.44,1790319413.5428858
http,158.178.245.95,3128,Singapore,SG,Singapore,transparent,false,28.99,AS31898,Oracle Corporation,19988.71,1790319363.7367713
