protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,178.128.59.180,18080,Singapore,SG,Singapore,elite,true,85.1,AS14061,"DigitalOcean, LLC",1391.44,1784138089.3720944
http,144.48.6.42,80,Singapore,SG,Singapore,transparent,true,93.43,AS997,Singapore  Beyotta Network LLP,580.92,1784138063.5946474
http,8.219.97.248,80,Singapore,SG,Singapore,elite,true,64.72,AS45102,Alibaba Cloud (Singapore) Private Limited,397.69,1784138062.376106
http,109.123.236.178,8080,Singapore,SG,Singapore,transparent,true,30.29,AS141995,Contabo Asia Private Limited,3205.99,1784138010.7640748
http,109.123.236.214,8080,Singapore,SG,Singapore,transparent,true,27.33,AS141995,Contabo Asia Private Limited,15419.47,1784137998.475876
http,47.245.117.43,80,Singapore,SG,Singapore,elite,true,17.21,AS45102,"Alibaba (US) Technology Co., Ltd.",399.1,1784137994.6938303
http,43.160.255.142,7890,Singapore,SG,Singapore,elite,true,69.07,AS132203,Aceville Pte.ltd,403.64,1784138101.7236578
http,43.160.225.96,8888,Singapore,SG,Singapore,transparent,true,20.98,AS132203,Shenzhen Tencent Computer Systems Company Limited,13875.89,1784138008.3015535
http,43.134.15.145,7890,Singapore,SG,Singapore,elite,true,34.83,AS132203,Shenzhen Tencent Computer Systems Company Limited,19551.24,1784137973.5759327
http,213.35.113.150,6969,Singapore,SG,Singapore,transparent,true,29.56,AS31898,Oracle Corporation,9479.1,1784137950.6952455
