protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,139.162.36.238,1080,Singapore,SG,Singapore,elite,true,22.39,AS63949,"Akamai Technologies, Inc.",1092.2,1787611198.6999252
socks5,34.124.190.108,8080,Singapore,SG,Singapore,elite,true,82.21,AS396982,Google LLC,11571.45,1787611190.9008653
socks5,43.156.70.98,8080,Singapore,SG,Singapore,elite,true,86.57,AS132203,Shenzhen Tencent Computer Systems Company Limited,974.34,1787611190.112014
socks5,177.5.74.74,1080,Singapore,SG,Singapore,elite,true,85.59,AS137535,Hong Kong Communications International CO,7026.31,1787611189.4364948
socks5,47.84.102.47,8080,Singapore,SG,Singapore,elite,true,29.76,AS45102,Alibaba.com LLC,10164.05,1787611186.0583026
socks5,152.69.211.50,40001,Singapore,SG,Singapore,elite,true,43.34,AS31898,Oracle Corporation,975.64,1787611184.8405786
socks5,43.160.245.155,8080,Singapore,SG,Singapore,elite,true,72.03,AS132203,Shenzhen Tencent Computer Systems Company Limited,13738.29,1787611177.9083204
socks5,129.150.57.5,55555,Singapore,SG,Singapore,elite,true,9.1,AS31898,Oracle Corporation,14595.53,1787611171.4880447
socks5,139.180.144.76,7890,Singapore,SG,Singapore,elite,true,8.57,AS20473,SGP VULTR,12007.71,1787611156.1120236
socks5,43.106.60.21,1080,Singapore,SG,Singapore,elite,true,45.9,AS45102,"Alibaba (US) Technology Co., Ltd.",1512.31,1787611150.3039746
socks5,129.150.47.213,9050,Singapore,SG,Singapore,elite,true,30.04,AS31898,Oracle Corporation,2284.93,1787611135.5650947
socks5,167.71.204.247,9050,Singapore,SG,Singapore,elite,true,24.61,AS14061,"DigitalOcean, LLC",6892.71,1787611133.9056802
socks5,128.199.104.190,41354,Singapore,SG,Singapore,elite,true,37.11,AS14061,"DigitalOcean, LLC",4470.68,1787611130.5922425
socks5,43.134.53.69,1080,Singapore,SG,Singapore,elite,true,26.36,AS132203,Shenzhen Tencent Computer Systems Company Limited,1954.51,1787611127.652021
socks5,192.229.85.39,33142,Singapore,SG,Singapore,elite,true,72.12,AS138995,Antbox Networks Limited,15561.5,1787611105.1803405
socks5,51.79.199.104,3129,Singapore,SG,Singapore,elite,true,12.93,AS16276,OVH SAS,2261.79,1787611198.151422
