protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,185.225.42.91,1080,Syria,SY,Yarmouk,elite,true,38.3,AS29256,sy-samaweb,718.95,1789630198.911651
socks4,89.43.135.181,1080,Syria,SY,Manbij,elite,true,59.8,AS216472,High Speed For Internet Services L.L.C,299.4,1789630194.2723367
http,89.43.134.35,8080,Syria,SY,Aleppo,transparent,true,22.34,AS216472,High Speed For Internet Services L.L.C,1582.58,1789630185.0394137
http,193.33.157.16,8080,Syria,SY,Aleppo,transparent,false,25.09,AS216472,High Speed For Internet Services L.L.C,4577.84,1789630183.047359
http,78.155.66.90,8080,Syria,SY,Kafr Baţnā,transparent,true,23.81,AS29256,ISP-TARASSUL,1473.26,1789630171.340759
http,205.209.66.81,8080,Syria,SY,Al-Hasakah,transparent,false,41.09,AS214707,RCell LLC,3342.58,1789630170.3128471
http,89.43.132.81,8085,Syria,SY,Ad Dānā,transparent,false,22.98,AS216472,High Speed For Internet Services L.L.C,10866.63,1789630165.7752872
http,78.155.66.87,8080,Syria,SY,Kafr Baţnā,transparent,false,19.96,AS29256,ISP-TARASSUL,7667.51,1789630165.531286
http,89.43.132.250,8080,Syria,SY,Idlib,transparent,false,23.0,AS216472,High Speed For Internet Services L.L.C,9019.31,1789630162.4288075
http,193.43.140.240,8080,Syria,SY,Babīlā,transparent,false,24.71,AS29256,Syrian Telecom,2233.04,1789630115.8055906
