protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,78.155.67.224,8080,Syria,SY,Jaramana,transparent,false,25.69,AS29256,ISP-TARASSUL,3386.04,1787970876.0025132
http,128.0.7.11,8080,Syria,SY,Shuyūkh Taḩtānī,transparent,false,17.9,AS216472,High Speed For Internet Services L.L.C,6202.63,1787970873.6024904
http,193.43.159.163,8080,Syria,SY,Irbin,transparent,false,13.07,AS29256,Syrian Telecom,2123.22,1787970872.1778147
http,85.189.13.69,8080,Syria,SY,Idlib,transparent,true,42.67,AS216472,GTT Communications Inc.,14511.68,1787970867.9212716
http,193.43.149.85,8080,Syria,SY,Al Mulayḩah,transparent,false,23.37,AS29256,Syrian Telecom,5793.44,1787970867.1123319
http,78.155.66.87,8080,Syria,SY,Jaramana,transparent,false,20.74,AS29256,ISP-TARASSUL,4112.74,1787970858.4272032
http,193.43.140.85,8080,Syria,SY,Dārayyā,transparent,false,10.39,AS29256,Syrian Telecom,12086.26,1787970847.5530374
http,193.43.145.248,8080,Syria,SY,Yarmouk,transparent,false,24.13,AS29256,Syrian Telecom,8431.85,1787970821.3179018
http,91.144.30.93,8080,Syria,SY,Damascus,transparent,false,21.68,AS29256,STE Public Data Network Backbone and LIR,2797.86,1787970818.3127646
http,193.43.145.120,8080,Syria,SY,Yarmouk,transparent,false,26.81,AS29256,Syrian Telecom,5955.5,1787970806.826247
http,193.43.140.222,7890,Syria,SY,Dārayyā,transparent,false,25.56,AS29256,Syrian Telecom,9539.55,1787970762.9508383
http,89.43.133.165,8080,Syria,SY,Ḩīsh,transparent,false,23.11,AS216472,High Speed For Internet Services L.L.C,4567.02,1787970735.8487563
