protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,1.20.254.32,4153,Thailand,TH,Khwaeng Thung Song Hong,elite,true,42.29,AS23969,TOT Public Company Limited,3877.94,1789067391.3533118
socks4,180.183.149.236,5678,Thailand,TH,Lak Si,elite,true,77.73,AS138524,Triple T Broadband Public Company Limited,4009.4,1789067386.801917
socks4,125.25.57.57,4153,Thailand,TH,Bangkok,elite,true,47.28,AS23969,TOT Public Company Limited,8046.62,1789067386.4377422
socks5,125.24.156.113,7080,Thailand,TH,Trang,elite,true,49.92,AS23969,TOT Public Company Limited,2229.07,1789067383.8440454
socks4,182.53.96.56,4145,Thailand,TH,Bangkok,elite,true,22.77,AS23969,TOT Public Company Limited,1861.31,1789067383.561654
socks4,119.63.95.3,4153,Thailand,TH,Mueang Samut Prakan,elite,true,43.9,AS38794,"United Information Highway Co., Ltd.",1077.22,1789067382.460982
socks4,159.192.139.42,5678,Thailand,TH,Chon Buri,elite,true,24.62,AS131090,National Telecom Public Company Limited,8188.3,1789067379.2614646
http,202.28.194.139,31280,Thailand,TH,Chiang Mai,elite,true,99.71,AS4621,Office of Info.Tech. Admin. for Educational Development,535.63,1789067377.962198
http,43.229.79.218,8080,Thailand,TH,Ron Phibun,transparent,true,28.76,AS56309,Readyidc Company Limited,492.96,1789067377.4911833
http,182.53.143.200,8180,Thailand,TH,Nakhon Pathom,transparent,false,5.71,AS23969,TOT Public Company Limited,12564.66,1789067362.0349412
http,101.109.111.147,8080,Thailand,TH,Bangkok,transparent,true,84.38,AS23969,TOT Public Company Limited,1514.84,1789067360.469085
http,118.172.125.214,8080,Thailand,TH,Khlong Hoi Khong,transparent,false,71.35,AS23969,TOT Public Company Limited,8782.15,1789067346.5107758
http,43.229.79.241,8080,Thailand,TH,Ron Phibun,transparent,true,29.39,AS56309,Readyidc Company Limited,14464.1,1789067331.3542376
socks5,8.213.215.187,34567,Thailand,TH,Bangkok,elite,true,0.92,AS45102,"Alibaba (US) Technology Co., Ltd.",7628.61,1789067325.2525356
http,183.88.214.84,8080,Thailand,TH,Bangkok,transparent,false,10.77,AS45758,Triple T Broadband Public Company Limited,11794.8,1789067322.6127849
http,43.229.79.252,8080,Thailand,TH,Ron Phibun,transparent,true,29.06,AS56309,Readyidc Company Limited,9601.85,1789067308.3007503
http,125.27.192.162,8081,Thailand,TH,Khwaeng Thung Song Hong,transparent,false,14.53,AS23974,TOT Public Company Limited,5695.15,1789067307.6261523
http,43.229.79.236,8080,Thailand,TH,Ron Phibun,transparent,false,34.41,AS56309,Readyidc Company Limited,11192.79,1789067292.9900393
http,101.109.77.90,8080,Thailand,TH,Bung Khla,transparent,false,27.13,AS23969,TOT Public Company Limited,4725.57,1789067277.3526533
http,212.80.213.220,3128,Thailand,TH,Nonthaburi,transparent,false,50.38,AS56309,"Siamdata Communication Co., ltd.",9361.63,1789067267.468962
