protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,202.28.194.139,31280,Thailand,TH,Chiang Mai,elite,true,99.71,AS4621,Office of Info.Tech. Admin. for Educational Development,605.84,1788523797.5184805
http,110.164.175.110,8080,Thailand,TH,Lak Si,transparent,false,14.23,AS45758,Triple T Broadband Public Company Limited,5567.03,1788523780.7994866
http,43.229.79.247,8080,Thailand,TH,Ron Phibun,transparent,true,33.93,AS56309,Readyidc Company Limited,10924.26,1788523772.6264303
http,115.87.57.136,8080,Thailand,TH,Bangkok,transparent,false,47.25,AS17552,TRUEBB,4556.09,1788523772.0143032
http,110.164.128.124,8080,Thailand,TH,Lak Si,transparent,false,20.89,AS45758,Triple T Broadband Public Company Limited,4750.5,1788523765.967485
http,8.213.195.191,9191,Thailand,TH,Bangkok,elite,false,0.91,AS45102,Alibaba Cloud (Singapore) Private Limited,3572.79,1788523763.3578846
http,43.229.79.227,8080,Thailand,TH,Samut Sakhon,transparent,true,38.75,AS56309,Readyidc Company Limited,13077.45,1788523756.3542254
http,103.253.72.151,8080,Thailand,TH,Thung Si Udom,transparent,false,15.26,AS56309,Readyidc Company Limited,14192.67,1788523756.1705332
http,8.213.195.191,8443,Thailand,TH,Bangkok,elite,true,0.98,AS45102,Alibaba Cloud (Singapore) Private Limited,8595.23,1788523745.3928125
http,58.136.252.210,8080,Thailand,TH,Bangkok,transparent,true,27.62,AS133481,AIS-Fibre,9528.15,1788523737.8829093
http,81.31.234.70,80,Thailand,TH,Bangkok,transparent,false,10.0,AS149766,Y.U.T Corporate Company Limited,10792.39,1788523735.718816
http,125.27.192.162,8081,Thailand,TH,Khwaeng Thung Song Hong,transparent,true,14.47,AS23974,TOT Public Company Limited,5103.48,1788523728.3787763
http,43.229.79.239,8080,Thailand,TH,Ron Phibun,transparent,true,36.55,AS56309,Readyidc Company Limited,12488.02,1788523719.47386
http,203.150.113.107,8080,Thailand,TH,Bangkok,transparent,false,37.39,AS4618,Internet Thailand Company Ltd.,9254.0,1788523717.9530013
http,49.48.115.62,8080,Thailand,TH,Khon Kaen,transparent,true,35.66,AS45758,Triple T Broadband Public Company Limited,8614.92,1788523701.9969878
http,118.172.125.214,8080,Thailand,TH,Krasae Sin,transparent,true,72.43,AS23969,TOT Public Company Limited,4008.43,1788523698.963226
http,43.229.79.160,8080,Thailand,TH,Ron Phibun,transparent,true,48.42,AS56309,Readyidc Company Limited,11503.17,1788523688.783103
http,43.229.79.218,8080,Thailand,TH,Ron Phibun,transparent,true,30.68,AS56309,Readyidc Company Limited,17196.61,1788523679.8018646
http,183.88.213.178,8080,Thailand,TH,Bangkok,transparent,false,17.07,AS45758,Triple T Broadband Public Company Limited,7964.18,1788523673.7362452
http,43.229.79.252,8080,Thailand,TH,Ron Phibun,transparent,false,24.67,AS56309,Readyidc Company Limited,14174.23,1788523655.094022
http,103.10.228.119,8080,Thailand,TH,Ban Mai Khao,transparent,false,11.64,AS131090,CATBB,9936.51,1788523654.68611
http,180.183.181.47,3128,Thailand,TH,Lak Si,transparent,false,43.41,AS138524,Triple T Broadband Public Company Limited,11273.51,1788523650.3981442
