protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,202.28.194.139,31280,Thailand,TH,Chiang Mai,elite,true,99.7,AS4621,Office of Info.Tech. Admin. for Educational Development,549.34,1787415874.5313
http,171.4.180.44,8080,Thailand,TH,Sing Buri,transparent,true,27.6,AS45758,Triple T Broadband Public Company Limited,2768.22,1787415866.0826766
http,58.136.94.90,8080,Thailand,TH,Ko Samui,transparent,true,40.72,AS133481,AIS-Fibre,10032.84,1787415855.7761889
http,103.10.228.119,8080,Thailand,TH,Ban Mai Khao,transparent,true,11.37,AS131090,CATBB,9022.68,1787415853.8578799
http,184.82.175.199,8080,Thailand,TH,Na Klang,transparent,true,35.54,AS133481,AIS-Fibre,6263.99,1787415835.4982529
http,223.207.99.83,8080,Thailand,TH,Udon Thani,transparent,true,32.73,AS45758,Triple T Broadband Public Company Limited,1350.04,1787415817.6292217
http,223.205.98.137,8080,Thailand,TH,Tha Sala,transparent,true,35.47,AS45758,Triple T Broadband Public Company Limited,7734.23,1787415813.288739
http,223.207.101.166,8080,Thailand,TH,Udon Thani,transparent,true,28.17,AS45758,Triple T Broadband Public Company Limited,7962.49,1787415810.635734
http,171.5.183.61,8080,Thailand,TH,Prachin Buri,transparent,true,27.86,AS45758,Triple T Broadband Public Company Limited,2529.36,1787415804.914172
http,101.51.131.47,8080,Thailand,TH,Khwaeng Thung Song Hong,transparent,true,25.05,AS23969,TOT Public Company Limited,5954.49,1787415777.2127247
http,83.118.60.147,8213,Thailand,TH,Bangkok,anonymous,true,12.94,AS132280,Symphony Communication Public Company Limited,13151.32,1787415673.12419
