protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,1.179.151.165,31948,Thailand,TH,Li,elite,true,22.21,AS131293,TOT Public Company Limited,951.92,1789368302.234541
socks4,159.192.121.240,4145,Thailand,TH,Bangkok,elite,true,24.06,AS131090,National Telecom Public Company Limited,2122.67,1789368299.7310565
socks4,1.20.254.32,4153,Thailand,TH,Khwaeng Thung Song Hong,elite,true,43.56,AS23969,TOT Public Company Limited,1912.14,1789368298.8367033
socks4,159.192.139.42,5678,Thailand,TH,Chon Buri,elite,true,25.13,AS131090,National Telecom Public Company Limited,991.94,1789368297.7912986
socks4,203.172.120.179,1080,Thailand,TH,Huai Khwang,elite,true,54.41,AS4750,sinokor1,2191.91,1789368294.7349572
socks4,125.26.4.197,4145,Thailand,TH,Bangkok,elite,true,25.4,AS23969,TOT Public Company Limited,872.39,1789368287.1670508
socks4,1.179.172.45,31225,Thailand,TH,Bangkok,elite,true,26.05,AS131293,TOT Public Company Limited,8016.97,1789368287.1330526
socks4,8.213.197.208,808,Thailand,TH,Bangkok,elite,true,0.8,AS45102,"Alibaba (US) Technology Co., Ltd.",3750.86,1789368286.9382093
socks4,8.213.197.208,8008,Thailand,TH,Bangkok,elite,true,0.87,AS45102,"Alibaba (US) Technology Co., Ltd.",5584.14,1789368286.6199574
socks4,8.213.197.208,18080,Thailand,TH,Bangkok,elite,true,0.82,AS45102,"Alibaba (US) Technology Co., Ltd.",4438.77,1789368285.8391855
socks4,8.213.197.208,312,Thailand,TH,Bangkok,elite,true,0.79,AS45102,"Alibaba (US) Technology Co., Ltd.",3383.75,1789368285.280985
socks4,8.213.197.208,100,Thailand,TH,Bangkok,elite,true,0.79,AS45102,"Alibaba (US) Technology Co., Ltd.",10543.27,1789368278.380912
socks4,180.183.149.236,5678,Thailand,TH,Lak Si,elite,true,79.95,AS138524,Triple T Broadband Public Company Limited,4070.0,1789368278.2259953
socks4,119.63.95.3,4153,Thailand,TH,Bang Phli,elite,true,44.81,AS38794,"United Information Highway Co., Ltd.",4148.19,1789368276.9890249
