protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,45.144.214.8,1081,Türkiye,TR,Istanbul,elite,true,59.19,AS215761,Muhammed Fatih ASAN,4235.69,1788142486.5378995
http,109.224.242.233,8080,Türkiye,TR,Reyhanlı,transparent,true,53.67,AS216472,High Speed For Internet Services L.L.C,1446.64,1788142470.1809888
socks4,158.94.216.241,9097,Turkey,TR,Sancaktepe,elite,true,37.62,AS44620,Netlen Internet Hizmetleri Ltd. Sti.,1606.47,1788142470.101328
http,109.224.242.230,8080,Türkiye,TR,Reyhanlı,transparent,false,35.35,AS216472,High Speed For Internet Services L.L.C,5009.67,1788142467.8841677
socks5,45.144.214.8,1081,Türkiye,TR,Istanbul,elite,true,57.35,AS215761,Muhammed Fatih ASAN,453.42,1788142463.586303
http,195.62.50.25,8080,Turkey,TR,Istanbul,transparent,false,17.25,AS216472,High Speed For Internet Services L.L.C,1762.44,1788142461.116742
http,195.175.29.38,9090,Türkiye,TR,Istanbul,transparent,false,6.09,AS9121,Turk Telekomunikasyon A.S,7295.45,1788142455.7527652
http,194.124.36.132,8080,Türkiye,TR,Antakya,transparent,false,16.63,AS202561,High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.,7783.16,1788142454.9487445
http,95.3.69.222,8080,Turkey,TR,Antakya,transparent,true,99.18,AS9121,Turk Telekomunikasyon Anonim Sirketi,271.08,1788142451.7157345
http,213.238.172.216,8080,Türkiye,TR,Istanbul,elite,true,6.08,AS60707,Kapteyan Bilisim Teknolojileri Sanayi ve Ticaret A.S,146.81,1788142447.693546
socks5,185.118.143.141,1080,Türkiye,TR,Magnesia ad Sipylum,elite,true,67.76,AS57844,SPDNet Telekomunikasyon,2409.65,1788142444.9369903
http,176.88.166.163,8080,Türkiye,TR,Istanbul,transparent,false,23.19,AS34984,Superonline Iletisim Hizmetleri A.S.,5937.4,1788142407.466056
http,195.62.50.6,8080,Turkey,TR,Istanbul,transparent,true,18.73,AS216472,High Speed For Internet Services L.L.C,17275.6,1788142681.7644122
http,149.86.151.202,8085,Türkiye,TR,Selçuklu,transparent,false,36.95,AS208972,Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi,12102.37,1788142671.6023798
