protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,149.86.151.202,8085,Türkiye,TR,Selçuklu,transparent,false,37.95,AS208972,Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi,565.8,1790099917.3282733
http,212.175.50.83,8080,Turkey,TR,Sanliurfa,transparent,true,30.67,AS9121,Turk Telekomunikasyon Anonim Sirketi,3750.86,1790099906.5968506
http,107.181.155.86,80,Türkiye,TR,Istanbul,elite,false,99.36,AS213535,YottaSrc,167.4,1790099899.9961436
http,201.7.31.236,8080,Turkey,TR,Himmetdede,transparent,false,30.24,AS216472,High Speed For Internet Services L.L.C,1023.13,1790099895.584178
http,206.1.97.133,3128,Türkiye,TR,Istanbul,elite,false,26.79,AS44620,Cogent Communications,10706.18,1790099887.3885658
http,188.132.221.186,8080,Türkiye,TR,Antakya,transparent,false,25.72,AS202561,High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.,8032.27,1790099878.6143153
http,188.132.249.147,8080,Turkey,TR,Kilis,transparent,false,28.53,AS216472,High Speed For Internet Services L.L.C,4431.93,1790099859.8607059
http,116.204.166.40,8080,Turkey,TR,Istanbul,transparent,false,21.54,AS216472,High Speed For Internet Services L.L.C,10472.2,1790099836.2933047
http,201.7.31.186,8080,Turkey,TR,Himmetdede,transparent,false,24.36,AS216472,High Speed For Internet Services L.L.C,3712.52,1790099835.204108
http,212.252.71.20,8080,Turkey,TR,Kilis,transparent,false,25.6,AS34984,GUNEYDOGUTELEKOM,4621.29,1790099827.9139402
http,109.224.242.171,8080,Türkiye,TR,Reyhanlı,transparent,false,24.95,AS216472,High Speed For Internet Services L.L.C,4419.87,1790099821.980914
