protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,176.88.166.170,8080,Türkiye,TR,Istanbul,transparent,true,45.87,AS34984,Superonline Iletisim Hizmetleri A.S.,287.6,1784189985.1705136
http,195.142.250.46,8080,Türkiye,TR,Bursa,transparent,true,29.14,AS34984,Superonline Iletisim Hizmetleri A.S.,7530.21,1784189976.2301457
http,176.88.166.171,8080,Türkiye,TR,Istanbul,transparent,true,24.85,AS34984,Superonline Iletisim Hizmetleri A.S.,7890.11,1784189974.4003744
http,109.224.242.209,8080,Turkey,TR,Antakya,transparent,true,13.86,AS216472,High Speed For Internet Services L.L.C,3299.97,1784189971.527846
http,85.29.58.229,8080,Turkey,TR,Beyoğlu,transparent,true,31.42,AS34984,Superonline Iletisim Hizmetleri A.S.,5713.06,1784189948.4679837
http,176.88.166.165,8080,Türkiye,TR,Istanbul,transparent,true,22.18,AS34984,Superonline Iletisim Hizmetleri A.S.,1889.81,1784189945.954088
http,46.197.136.14,8080,Türkiye,TR,Denizli,transparent,true,29.66,AS47524,Turksat Internet Services,8105.05,1784189935.8938696
http,176.88.166.197,8080,Türkiye,TR,Kilis,transparent,true,27.45,AS34984,Superonline Iletisim Hizmetleri A.S.,1267.81,1784189933.3832223
http,178.250.88.50,8080,Türkiye,TR,Istanbul,transparent,true,40.15,AS29399,Ramtek Telekom,562.88,1784189907.498826
http,194.124.36.132,8080,Türkiye,TR,Antakya,transparent,true,16.78,AS202561,High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.,7383.85,1784189902.4920475
http,188.132.150.48,8080,Turkey,TR,Istanbul,transparent,true,18.26,AS216472,High Speed For Internet Services L.L.C,292.53,1784189896.857844
http,81.8.59.178,8080,Turkey,TR,Turgutlu,transparent,true,27.79,AS15924,Vodafone Net DSL,1269.18,1784189860.8841813
http,176.88.166.174,8080,Türkiye,TR,Istanbul,transparent,true,22.28,AS34984,Superonline Iletisim Hizmetleri A.S.,265.04,1784189860.8080034
http,149.86.151.149,8080,Türkiye,TR,Selçuklu,transparent,true,24.62,AS208972,Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi,2093.36,1784189997.392806
http,131.222.251.70,8080,Türkiye,TR,Antakya,transparent,true,31.6,AS216472,High Speed For Internet Services L.L.C,1806.86,1784189997.3374093
http,131.222.253.236,8080,Türkiye,TR,Antakya,transparent,true,32.25,AS216472,High Speed For Internet Services L.L.C,1708.98,1784189992.3622153
http,131.222.250.218,8080,Türkiye,TR,Antakya,transparent,true,35.79,AS216472,High Speed For Internet Services L.L.C,428.2,1784189985.0838568
http,131.222.251.43,8080,Türkiye,TR,Antakya,transparent,true,29.46,AS216472,High Speed For Internet Services L.L.C,247.75,1784189984.347861
http,95.3.69.222,8080,Türkiye,TR,Istanbul,transparent,true,98.4,AS9121,Turk Telekomunikasyon Anonim Sirketi,280.31,1784189981.527221
http,131.222.252.71,8080,Türkiye,TR,Antakya,transparent,true,27.46,AS216472,High Speed For Internet Services L.L.C,430.3,1784189981.4043593
http,131.222.251.61,8080,Türkiye,TR,Antakya,transparent,true,27.83,AS216472,High Speed For Internet Services L.L.C,4558.18,1784189978.9556649
http,131.222.252.72,8080,Türkiye,TR,Antakya,transparent,true,23.03,AS216472,High Speed For Internet Services L.L.C,8480.76,1784189966.2838876
http,131.222.247.50,8080,Türkiye,TR,Antakya,transparent,true,19.42,AS216472,High Speed For Internet Services L.L.C,3639.98,1784189956.553303
http,195.62.50.20,8080,Turkey,TR,Istanbul,transparent,true,23.58,AS216472,High Speed For Internet Services L.L.C,310.58,1784189913.9290576
http,131.222.253.111,8080,Türkiye,TR,Antakya,transparent,true,27.19,AS216472,High Speed For Internet Services L.L.C,268.58,1784189911.746083
http,131.222.253.73,8080,Türkiye,TR,Antakya,transparent,true,27.11,AS216472,High Speed For Internet Services L.L.C,225.58,1784189896.5202334
http,131.222.251.254,8080,Türkiye,TR,Antakya,transparent,true,48.42,AS216472,High Speed For Internet Services L.L.C,213.28,1784189866.7617445
http,212.252.73.4,8080,Türkiye,TR,Istanbul,transparent,true,22.5,AS34984,Superonline Iletisim Hizmetleri A.S.,6078.54,1784189940.3076148
http,213.128.88.29,808,Turkey,TR,Istanbul,elite,true,1.23,AS42926,Radore Veri Merkezi Hizmetleri A.S.,230.2,1784189939.5354602
http,212.252.73.30,8080,Türkiye,TR,Istanbul,transparent,true,24.93,AS34984,Superonline Iletisim Hizmetleri A.S.,235.81,1784189929.5977833
http,212.252.73.44,8080,Türkiye,TR,Istanbul,transparent,true,51.7,AS34984,GUNEYDOGUTELEKOM,3048.39,1784189919.6786923
http,212.252.71.20,8080,Turkey,TR,Kilis,transparent,true,25.51,AS34984,GUNEYDOGUTELEKOM,233.57,1784189914.9506168
http,212.252.73.18,8080,Türkiye,TR,Istanbul,transparent,true,25.83,AS34984,Superonline Iletisim Hizmetleri A.S.,223.28,1784189870.902578
http,212.252.73.17,8080,Türkiye,TR,Istanbul,transparent,true,23.62,AS34984,Superonline Iletisim Hizmetleri A.S.,3590.82,1784189862.3643281
