protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,194.5.193.125,9050,Turkey,TR,Istanbul,elite,true,56.22,AS57568,Arvancloud Global Technologies L.L.C,1275.59,1784628598.3038921
socks4,88.247.31.164,4153,Türkiye,TR,Ankara,elite,true,57.26,AS9121,Turk Telekomunikasyon A.S,261.43,1784628590.798841
socks4,144.225.65.83,9082,Türkiye,TR,Başakşehir,elite,true,90.98,AS44620,Ace Data Centers II,3688.99,1784628582.0038786
socks4,77.223.132.12,10001,Turkey,TR,Bornova,elite,true,19.27,AS43391,Netdirekt A.S.,3891.95,1784628578.551969
socks4,89.145.186.194,4153,Türkiye,TR,Istanbul,elite,true,56.31,AS198325,Yeni Telekom Internet Hizmetleri Ltd. Sirketi,7278.26,1784628563.755925
socks4,144.225.65.83,9080,Türkiye,TR,Başakşehir,elite,true,83.34,AS44620,Ace Data Centers II,4070.14,1784628554.721108
socks4,93.113.63.11,1080,Turkey,TR,Denizli,elite,true,75.12,AS51559,Netinternet Datacenter,287.37,1784628601.1818123
socks4,103.83.87.75,9080,Türkiye,TR,Istanbul,elite,true,85.27,AS44382,"Fiba Cloud Operation Company, LLC",774.41,1784628584.6845238
socks4,103.83.87.75,9082,Türkiye,TR,Istanbul,elite,true,72.5,AS44382,"Fiba Cloud Operation Company, LLC",2811.56,1784628568.7931201
socks4,103.83.87.75,9090,Türkiye,TR,Istanbul,elite,true,68.21,AS44382,"Fiba Cloud Operation Company, LLC",8834.67,1784628565.6721318
