protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,122.117.18.15,1080,Taiwan,TW,East,elite,true,54.96,AS3462,"Chunghwa Telecom Co., Ltd.",1323.51,1788500099.588026
http,125.230.223.118,8080,Taiwan,TW,Taichung,elite,true,100.0,AS3462,"Chunghwa Telecom Co., Ltd.",4751.07,1788500093.476738
socks5,116.241.240.176,11080,Taiwan,TW,Zhongli District,elite,true,92.87,AS131596,TBCNET,2028.89,1788500084.4367917
socks5,220.135.64.124,11080,Taiwan,TW,New Taipei City,elite,true,93.18,AS3462,"Chunghwa Telecom Co., Ltd.",1198.35,1788500067.891605
socks5,220.135.195.152,10801,Taiwan,TW,Taichung,elite,true,21.22,AS3462,"Chunghwa Telecom Co., Ltd.",1353.53,1788500055.5783186
http,34.81.160.132,80,Taiwan,TW,Taipei,elite,false,38.3,AS396982,Google LLC,3086.94,1788500052.690977
http,220.135.222.226,3128,Taiwan,TW,Zuoying,transparent,false,43.8,AS3462,"Chunghwa Telecom Co., Ltd.",10716.34,1788500049.062665
http,220.134.5.4,8080,Taiwan,TW,New Taipei City,transparent,false,14.26,AS3462,"Chunghwa Telecom Co., Ltd.",12031.07,1788500046.7504456
http,122.117.203.252,3128,Taiwan,TW,Kaohsiung,transparent,true,18.38,AS3462,"Chunghwa Telecom Co., Ltd.",10338.0,1788500045.9976816
http,27.147.28.73,8080,Taiwan,TW,Xindian District,transparent,false,7.96,AS18429,"Extra-Lan Technologies Co., LTD",6740.92,1788499817.1342125
