protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,220.128.223.136,8085,Taiwan,TW,New Taipei City,anonymous,false,9.7,AS3462,"Chunghwa Telecom Co., Ltd.",817.8,1788481165.9262056
http,34.81.160.132,80,Taiwan,TW,Taipei,elite,false,38.28,AS396982,Google LLC,3859.4,1788481159.226705
http,211.22.151.163,60808,Taiwan,TW,Taichung,elite,false,3.28,AS3462,"Chunghwa Telecom Co., Ltd.",8863.54,1788481133.0411866
http,45.221.113.244,1081,Taiwan,TW,Daan,elite,false,1.37,AS967,VMISS Inc.,5795.64,1788481132.0087543
http,59.124.62.9,3128,Taiwan,TW,Bade District,transparent,true,16.99,AS3462,"Chunghwa Telecom Co., Ltd.",11816.57,1788481128.6545894
http,220.128.223.136,8084,Taiwan,TW,New Taipei City,anonymous,false,18.84,AS3462,"Chunghwa Telecom Co., Ltd.",686.48,1788481098.2101667
http,220.128.223.136,8083,Taiwan,TW,New Taipei City,anonymous,false,10.37,AS3462,"Chunghwa Telecom Co., Ltd.",762.04,1788481097.7540514
http,210.201.86.72,8080,Taiwan,TW,Banqiao,transparent,false,6.02,AS7482,Asia Pacific On-line Service Inc.,10563.34,1788481091.363266
http,220.135.222.226,3128,Taiwan,TW,Zuoying,transparent,true,40.83,AS3462,"Chunghwa Telecom Co., Ltd.",11638.05,1788481076.395409
http,61.216.156.222,60808,Taiwan,TW,Taipei,elite,false,4.45,AS3462,"Chunghwa Telecom Co., Ltd.",14915.92,1788481016.41418
