protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,176.111.37.216,39811,Ukraine,UA,Dobropol'ye,transparent,true,93.7,AS214743,Cogento Backbone Limited,139.48,1784125143.3911116
socks5,185.151.86.86,3699,Ukraine,UA,Kazanka,elite,true,7.47,AS199995,Omega Telecom,1244.45,1784125134.7417047
socks4,188.190.180.166,5678,Ukraine,UA,Khmelnytskyi,elite,true,60.49,AS28773,Global Technology Ukraine Ltd,7340.08,1784125122.5252116
socks5,5.149.208.240,1080,Ukraine,UA,Sevastopol,elite,true,17.98,AS35816,Lancom Ltd.,2105.16,1784125114.683961
socks4,193.105.62.11,58973,Ukraine,UA,Staryi Liubar,elite,true,14.7,AS196906,PE Brunarsky Andrey Romanovich,7272.97,1784125103.3729863
http,176.111.37.5,39811,Ukraine,UA,Dobropol'ye,transparent,true,93.97,AS214743,Cogento Backbone Limited,94.08,1784125094.315369
http,185.65.247.133,48049,Ukraine,UA,Kyiv,transparent,false,7.18,AS200000,Hosting Ukraine LTD,11181.76,1784125074.3700964
http,176.37.21.46,41890,Ukraine,UA,Kyiv,transparent,false,7.33,AS39608,Lanet Network,10915.73,1784125054.903862
http,176.105.212.219,8080,Ukraine,UA,Dmitrovka,transparent,true,10.08,AS24812,RPC HomeNet Ltd.,6656.33,1784125030.5679905
http,134.249.86.47,8080,Ukraine,UA,Kyiv,transparent,true,25.94,AS15895,Kyivstar UA,2883.02,1784125021.2607398
http,31.202.49.61,33761,Ukraine,UA,Kharkiv,elite,false,25.68,AS34700,Maxnet LLC,6830.77,1784124972.259319
http,178.251.111.21,8080,Ukraine,UA,Konotop,transparent,false,1.5,AS35297,Dataline LLC,9970.13,1784124967.8301125
