protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,77.88.252.18,38159,Ukraine,UA,Kyiv,elite,false,17.5,AS3326,NET,3182.59,1785615549.397799
http,195.34.91.67,8080,Ukraine,UA,Kyiv,transparent,false,7.74,AS25514,Modus-Global LLC,8365.17,1785615517.24792
http,188.190.177.47,8989,Ukraine,UA,Khmelnytskyi,transparent,false,30.51,AS28773,Global Technology Ukraine Ltd,3304.72,1785615512.2823608
http,176.32.2.193,8080,Ukraine,UA,Kamyanets-Podilskyi,transparent,false,7.11,AS49332,Lanet Network,5295.33,1785615494.426487
http,88.135.210.179,8080,Ukraine,UA,Ivano-Frankivsk,transparent,false,9.89,AS49125,Uteam LTD,7591.82,1785615491.7438254
http,91.214.31.234,8080,Ukraine,UA,Kyiv,transparent,false,6.31,AS49327,"TOV ""Telza""",6044.6,1785615484.407079
http,176.111.37.5,39811,Ukraine,UA,Dobropol'ye,transparent,true,95.28,AS214743,Cogento Backbone Limited,105.82,1785615480.4413867
http,176.111.37.216,39811,Ukraine,UA,Dobropol'ye,transparent,true,94.69,AS214743,Cogento Backbone Limited,145.46,1785615480.2611964
http,185.235.218.188,8118,Ukraine,UA,Kyiv,elite,false,12.76,AS202302,Neth LLC,5889.6,1785615472.743787
http,134.249.86.47,8080,Ukraine,UA,Kyiv,transparent,false,26.49,AS15895,Kyivstar UA,3918.42,1785615438.738569
