protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,176.111.37.5,39811,Ukraine,UA,Dobropol'ye,transparent,true,94.0,AS214743,Cogento Backbone Limited,122.03,1784155778.0030863
http,178.251.111.21,8080,Ukraine,UA,Konotop,transparent,true,1.5,AS35297,Dataline LLC,5538.59,1784155760.6518197
http,178.210.129.163,8443,Ukraine,UA,Lviv,elite,true,37.02,AS49984,TELCOM,5705.28,1784155753.5079184
http,176.105.212.219,8080,Ukraine,UA,Dmitrovka,transparent,true,10.09,AS24812,RPC HomeNet Ltd.,4005.97,1784155731.6968775
http,31.202.49.61,33761,Ukraine,UA,Kharkiv,elite,true,25.78,AS34700,Maxnet LLC,1257.02,1784155721.387399
http,176.111.37.216,39811,Ukraine,UA,Dobropol'ye,transparent,true,93.74,AS214743,Cogento Backbone Limited,123.5,1784155688.3510084
http,82.207.117.120,8080,Ukraine,UA,Kyiv,elite,true,24.0,AS6849,"JSC ""Ukrtelecom""",625.71,1784155627.9776769
http,176.119.25.107,3128,Ukraine,UA,Kyiv,transparent,true,23.3,AS30860,Virtual Systems LLC,14246.4,1784155616.8678498
http,134.249.86.47,8080,Ukraine,UA,Kyiv,transparent,true,25.99,AS15895,Kyivstar UA,2290.2,1784155770.5855572
http,94.179.153.218,8081,Ukraine,UA,Kyiv,transparent,true,32.38,AS6849,UKRTELECOM,9989.86,1784155750.5859506
