protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,185.244.158.4,3129,Ukraine,UA,Kyiv,elite,true,56.46,AS41985,Stargroup LLC,217.19,1784490290.4890995
socks4,195.200.245.132,1080,Ukraine,UA,Chernivtsi,elite,true,37.51,AS50211,"PP ""IF-IX""",3240.26,1784490287.5892437
socks4,188.190.180.166,5678,Ukraine,UA,Khmelnytskyi,elite,true,60.96,AS28773,Global Technology Ukraine Ltd,1224.16,1784490285.4120274
socks4,193.106.57.96,5678,Ukraine,UA,Kyiv,elite,true,17.21,AS42510,Magic Line,1220.2,1784490283.3226147
socks4,80.92.227.185,5678,Ukraine,UA,Kyiv,elite,true,15.45,AS1820,WNET TELECOM USA Corp.,7294.43,1784490282.0076628
socks4,46.98.192.116,5678,Ukraine,UA,Dnipro,elite,true,46.09,AS15377,"ISP ""Fregat""",1477.67,1784490278.679358
socks4,195.78.113.38,4153,Ukraine,UA,Obolon,elite,true,51.47,AS49971,PrJSC Valex,7476.8,1784490270.7937312
socks4,193.105.62.11,58973,Ukraine,UA,Staryi Liubar,elite,true,15.14,AS196906,PE Brunarsky Andrey Romanovich,3273.81,1784490270.269366
socks4,194.31.212.115,1080,Ukraine,UA,Irpin,elite,true,57.15,AS209548,Irpen-Best,152.15,1784490268.3095522
socks4,217.77.223.2,9050,Ukraine,UA,Mykolayiv,elite,true,22.82,AS31272,WildPark Co,12033.44,1784490220.4492233
socks4,95.182.78.7,5678,Ukraine,UA,Liuboml,elite,true,3.29,AS50648,PE UAinet,3220.29,1784490257.5940495
