protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,66.23.231.213,3128,United States,US,Secaucus,elite,true,94.71,AS19318,"Interserver, Inc",254.07,1790337282.7333882
http,174.138.119.88,80,United States,US,Clifton,elite,false,73.73,AS14061,"DigitalOcean, LLC",180.86,1790337282.6030772
http,165.154.162.73,8888,United States,US,Los Angeles,elite,true,89.2,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,354.37,1790337280.5194933
http,47.252.11.233,80,United States,US,Charlottesville,elite,false,1.02,AS45102,Alibaba Cloud LLC,2224.01,1790337275.0567873
http,159.65.230.46,8888,United States,US,North Bergen,elite,false,59.65,AS14061,"DigitalOcean, LLC",168.26,1790337274.7081041
http,174.138.162.35,56542,United States,US,Phoenix,elite,true,9.49,AS20454,Secured Servers LLC,1477.75,1790337272.2912698
http,137.66.1.45,80,United States,US,Gunnison,transparent,false,98.78,AS40509,"Fly.io, Inc.",285.15,1790337272.1153903
http,157.230.219.85,8118,United States,US,North Bergen,elite,false,12.36,AS14061,"DigitalOcean, LLC",852.3,1790337271.023411
http,24.55.20.6,3030,United States,US,Austin,transparent,true,39.05,AS11427,Charter Communications Inc,933.61,1790337269.6538117
http,149.248.18.106,8118,United States,US,Los Angeles,elite,false,15.54,AS20473,The Constant Company,900.45,1790337269.559325
http,131.153.1.46,37245,United States,US,Ashburn,elite,true,17.6,AS19437,Secured Servers LLC,8440.29,1790337268.3527918
http,47.252.11.233,8080,United States,US,Charlottesville,elite,false,1.15,AS45102,Alibaba Cloud LLC,9359.76,1790337266.5716033
http,174.138.162.236,50496,United States,US,Phoenix,elite,true,48.98,AS20454,Secured Servers LLC,8948.14,1790337266.3851264
http,174.138.162.37,34338,United States,US,Phoenix,elite,false,2.85,AS20454,Secured Servers LLC,3053.8,1790337264.893197
http,43.173.120.13,8899,United States,US,Santa Clara,elite,true,100.0,AS132203,Shenzhen Tencent Computer Systems Company Limited,304.37,1790337264.874686
http,192.73.243.98,3128,United States,US,Miami,transparent,true,13.34,AS36236,"NetActuate, Inc",1327.76,1790337263.6037483
http,47.254.36.25,11080,United States,US,Minkler,elite,true,59.42,AS45102,Alibaba Cloud LLC,1499.5,1790337261.113158
http,207.177.122.144,8080,United States,US,Burlington,transparent,false,16.17,AS5056,Aureon Network Services,1353.05,1790337260.6889029
http,174.138.162.238,31652,United States,US,Phoenix,elite,false,44.12,AS20454,Secured Servers LLC,1412.11,1790337260.5955336
http,174.138.165.213,32830,United States,US,Phoenix,elite,false,4.72,AS20454,Secured Servers LLC,4001.79,1790337260.279716
http,174.138.165.213,32426,United States,US,Phoenix,elite,false,4.49,AS20454,Secured Servers LLC,7549.39,1790337259.6647642
http,174.138.161.146,38239,United States,US,Phoenix,elite,true,63.24,AS20454,Secured Servers LLC,3258.08,1790337258.8928819
http,192.92.182.221,8080,United States,US,Benton City,transparent,false,11.83,AS54755,Desert Winds Wireless Inc,2882.31,1790337258.7519841
http,193.227.129.196,8001,United States,US,Bend,elite,false,68.76,AS397423,Tier.Net Technologies LLC,511.07,1790337258.3478403
http,174.138.162.37,36186,United States,US,Phoenix,elite,false,7.37,AS20454,Secured Servers LLC,2224.15,1790337258.3070326
http,47.85.161.37,3128,United States,US,Charlottesville,elite,false,99.34,AS45102,Alibaba.com LLC,195.94,1790337257.9318058
http,71.168.71.12,8888,United States,US,Salem,elite,false,5.16,AS13672,"FAIRPOINT COMMUNICATIONS, INC.",1656.5,1790337257.6711767
http,174.138.165.213,37987,United States,US,Phoenix,elite,false,6.68,AS20454,Secured Servers LLC,8041.08,1790337257.5928204
http,174.138.162.37,25621,United States,US,Phoenix,elite,true,0.57,AS20454,Secured Servers LLC,4487.91,1790337257.4683561
http,174.138.161.146,55443,United States,US,Phoenix,elite,false,49.35,AS20454,Secured Servers LLC,5681.9,1790337257.069333
http,174.138.165.211,37204,United States,US,Phoenix,elite,false,5.71,AS20454,Secured Servers LLC,6677.57,1790337256.100886
http,174.138.161.146,35549,United States,US,Phoenix,elite,false,55.13,AS20454,Secured Servers LLC,11320.23,1790337255.5863204
http,162.214.159.94,8085,United States,US,Provo,elite,false,99.68,AS46606,Unified Layer,445.44,1790337255.4498177
http,174.138.162.38,39879,United States,US,Phoenix,elite,true,3.21,AS20454,Secured Servers LLC,12497.21,1790337254.759943
http,143.198.135.176,80,United States,US,Santa Clara,elite,false,47.06,AS14061,"DigitalOcean, LLC",10779.74,1790337254.5069747
http,174.138.165.213,35583,United States,US,Phoenix,elite,false,5.25,AS20454,Secured Servers LLC,8759.89,1790337254.480841
http,174.138.165.213,37571,United States,US,Phoenix,elite,false,6.29,AS20454,Secured Servers LLC,10752.98,1790337254.1121292
http,174.138.165.211,36026,United States,US,Phoenix,elite,false,8.27,AS20454,Secured Servers LLC,3073.02,1790337254.0934968
http,174.138.165.213,34345,United States,US,Phoenix,elite,false,3.87,AS20454,Secured Servers LLC,2765.22,1790337254.0387871
http,174.138.162.37,39281,United States,US,Phoenix,elite,false,2.9,AS20454,Secured Servers LLC,14548.53,1790337253.8350182
http,131.153.1.46,30956,United States,US,Ashburn,elite,false,10.79,AS19437,Secured Servers LLC,11624.67,1790337253.5225995
http,31.56.65.108,80,United States,US,Morehead City,elite,false,77.85,AS46177,White Sky Hosting,221.93,1790337253.4597826
http,174.138.162.34,65322,United States,US,Phoenix,elite,false,6.69,AS20454,Secured Servers LLC,12987.01,1790337253.4509106
http,174.138.162.37,33791,United States,US,Phoenix,elite,false,3.54,AS20454,Secured Servers LLC,9722.92,1790337253.252808
http,174.138.165.211,33035,United States,US,Phoenix,elite,true,5.12,AS20454,Secured Servers LLC,6435.62,1790337252.862924
http,131.153.1.46,51136,United States,US,Ashburn,elite,false,7.27,AS19437,Secured Servers LLC,9453.0,1790337252.3398333
http,174.138.165.213,36028,United States,US,Phoenix,elite,false,7.75,AS20454,Secured Servers LLC,7492.5,1790337251.8985248
http,193.227.129.195,54357,United States,US,Bend,elite,false,48.97,AS397423,Tier.Net Technologies LLC,15980.85,1790337251.881548
http,174.138.162.37,53637,United States,US,Phoenix,elite,false,6.48,AS20454,Secured Servers LLC,12318.93,1790337250.9688451
http,174.138.165.213,37219,United States,US,Phoenix,elite,false,4.69,AS20454,Secured Servers LLC,13469.76,1790337250.896325
http,47.89.159.212,9000,United States,US,Charlottesville,elite,false,1.3,AS45102,Alibaba.com LLC,2237.02,1790337250.8320243
http,24.153.226.234,8056,United States,US,Dallas,transparent,false,24.85,AS11427,Charter Communications Inc,13916.41,1790337250.577392
http,174.138.165.211,33960,United States,US,Phoenix,elite,false,6.1,AS20454,Secured Servers LLC,12719.59,1790337250.0092652
http,174.138.165.211,35780,United States,US,Phoenix,elite,true,6.14,AS20454,Secured Servers LLC,9443.67,1790337249.386
http,47.89.159.212,6379,United States,US,Charlottesville,elite,false,0.94,AS45102,Alibaba.com LLC,2975.46,1790337249.226609
http,174.138.165.211,33625,United States,US,Phoenix,elite,false,4.82,AS20454,Secured Servers LLC,7454.31,1790337249.121622
http,174.138.162.37,33210,United States,US,Phoenix,elite,false,4.95,AS20454,Secured Servers LLC,15032.74,1790337248.8776069
http,174.138.161.146,35660,United States,US,Phoenix,elite,true,52.54,AS20454,Secured Servers LLC,488.67,1790337248.681291
http,174.138.161.186,8788,United States,US,Phoenix,elite,true,48.77,AS20454,Secured Servers LLC,6515.4,1790337248.1657403
http,174.138.165.211,36156,United States,US,Phoenix,elite,false,10.86,AS20454,Secured Servers LLC,13006.11,1790337247.4457781
http,174.138.162.37,35885,United States,US,Phoenix,elite,false,4.62,AS20454,Secured Servers LLC,10014.33,1790337247.3977973
http,64.31.49.174,3128,United States,US,Miami,transparent,true,24.35,AS46475,"Limestone Networks, Inc.",7662.43,1790337247.360303
http,174.138.165.211,32775,United States,US,Phoenix,elite,false,5.26,AS20454,Secured Servers LLC,7047.15,1790337247.0048034
http,174.138.162.34,56046,United States,US,Phoenix,elite,false,6.21,AS20454,Secured Servers LLC,8803.22,1790337247.0047991
http,131.153.1.46,36434,United States,US,Ashburn,elite,false,9.87,AS19437,Secured Servers LLC,7751.95,1790337246.21079
http,131.153.1.46,37952,United States,US,Ashburn,elite,false,10.75,AS19437,Secured Servers LLC,5654.75,1790337245.676849
http,174.138.162.37,30933,United States,US,Phoenix,elite,false,3.95,AS20454,Secured Servers LLC,6806.16,1790337245.4814582
http,174.138.165.213,30019,United States,US,Phoenix,elite,false,10.0,AS20454,Secured Servers LLC,940.79,1790337245.420745
http,174.138.162.34,51276,United States,US,Phoenix,elite,false,6.88,AS20454,Secured Servers LLC,11872.04,1790337245.1631987
http,174.138.161.146,39892,United States,US,Phoenix,elite,false,55.68,AS20454,Secured Servers LLC,9229.18,1790337244.8169742
http,174.138.165.213,30051,United States,US,Phoenix,elite,true,7.18,AS20454,Secured Servers LLC,1233.68,1790337244.3575637
http,174.138.161.190,53188,United States,US,Phoenix,elite,false,58.71,AS20454,Secured Servers LLC,16466.99,1790337244.276028
http,154.21.89.32,12344,United States,US,Los Angeles,transparent,true,29.7,AS906,DMIT Cloud Services,5097.24,1790337244.133706
http,174.138.161.146,37040,United States,US,Phoenix,elite,false,39.13,AS20454,Secured Servers LLC,11596.62,1790337243.6342053
http,174.138.161.146,53321,United States,US,Phoenix,elite,true,56.56,AS20454,Secured Servers LLC,9465.92,1790337243.2483387
http,131.153.1.46,36908,United States,US,Ashburn,elite,true,7.85,AS19437,Secured Servers LLC,8725.16,1790337242.8688202
http,47.251.74.38,9080,United States,US,Minkler,elite,false,0.98,AS45102,Alibaba Cloud LLC,2317.83,1790337242.3196948
http,193.227.129.196,32358,United States,US,Bend,elite,true,56.87,AS397423,Tier.Net Technologies LLC,1783.02,1790337242.1142023
http,47.89.159.212,93,United States,US,Charlottesville,elite,false,0.97,AS45102,Alibaba.com LLC,10450.93,1790337241.6115732
http,174.138.162.34,8047,United States,US,Phoenix,elite,true,28.11,AS20454,Secured Servers LLC,4766.44,1790337241.279819
http,174.138.161.190,37445,United States,US,Phoenix,elite,false,51.85,AS20454,Secured Servers LLC,11345.38,1790337240.6992466
http,174.138.165.213,33571,United States,US,Phoenix,elite,false,4.61,AS20454,Secured Servers LLC,5790.07,1790337240.2659764
http,174.138.162.34,39889,United States,US,Phoenix,elite,false,3.87,AS20454,Secured Servers LLC,14481.56,1790337240.1531413
http,174.138.165.214,30877,United States,US,Phoenix,elite,true,4.31,AS20454,Secured Servers LLC,4546.64,1790337239.796414
http,174.138.165.213,32736,United States,US,Phoenix,elite,false,5.22,AS20454,Secured Servers LLC,9921.14,1790337239.4842806
http,174.138.162.35,20998,United States,US,Phoenix,elite,true,13.04,AS20454,Secured Servers LLC,2526.72,1790337239.374929
http,66.94.104.255,3128,United States,US,Orangeburg,elite,false,39.07,AS40021,Contabo Inc.,675.32,1790337237.6686587
http,174.138.165.211,9231,United States,US,Phoenix,elite,true,8.04,AS20454,Secured Servers LLC,11102.67,1790337237.3288062
http,104.251.93.167,16062,United States,US,Las Vegas,elite,false,15.14,AS5650,BraveWay LLC,4571.43,1790337236.5307019
http,174.138.162.37,38432,United States,US,Phoenix,elite,false,4.5,AS20454,Secured Servers LLC,8878.81,1790337236.4910653
http,131.153.1.46,36913,United States,US,Ashburn,elite,false,11.13,AS19437,Secured Servers LLC,5167.85,1790337235.9995904
http,174.138.165.211,34689,United States,US,Phoenix,elite,false,6.75,AS20454,Secured Servers LLC,13406.84,1790337235.506657
http,174.138.162.34,34386,United States,US,Phoenix,elite,false,4.26,AS20454,Secured Servers LLC,4675.64,1790337235.2562032
http,174.138.165.211,38223,United States,US,Phoenix,elite,false,9.16,AS20454,Secured Servers LLC,13520.57,1790337235.1648116
http,131.153.1.46,20005,United States,US,Ashburn,elite,true,27.88,AS19437,Secured Servers LLC,7410.47,1790337234.9368484
http,174.138.165.214,36832,United States,US,Phoenix,elite,false,4.2,AS20454,Secured Servers LLC,3168.44,1790337234.6537035
http,174.138.165.211,36202,United States,US,Phoenix,elite,true,9.83,AS20454,Secured Servers LLC,5313.28,1790337234.5011373
http,174.138.165.214,32252,United States,US,Phoenix,elite,false,4.81,AS20454,Secured Servers LLC,9348.82,1790337234.4848316
http,23.95.130.184,1080,United States,US,Buffalo,elite,false,71.75,AS36352,HostPapa,14681.33,1790337234.3857372
http,174.138.165.211,33722,United States,US,Phoenix,elite,false,5.33,AS20454,Secured Servers LLC,9098.4,1790337234.3772452
http,49.51.252.36,3128,United States,US,Santa Clara,elite,false,11.54,AS132203,OPHL,1870.19,1790337234.010178
http,174.138.162.35,36217,United States,US,Phoenix,elite,false,6.94,AS20454,Secured Servers LLC,6009.49,1790337233.6106958
http,174.138.165.211,32270,United States,US,Phoenix,elite,false,5.67,AS20454,Secured Servers LLC,10731.96,1790337232.9240966
http,174.138.165.213,9238,United States,US,Phoenix,elite,false,9.89,AS20454,Secured Servers LLC,6456.4,1790337232.881275
http,174.138.165.213,37989,United States,US,Phoenix,elite,false,5.78,AS20454,Secured Servers LLC,4142.02,1790337232.4029965
http,193.227.129.195,53244,United States,US,Bend,elite,false,59.09,AS397423,Tier.Net Technologies LLC,13765.36,1790337232.065408
http,174.138.162.34,54424,United States,US,Phoenix,elite,false,5.3,AS20454,Secured Servers LLC,9403.23,1790337231.8742118
http,131.153.1.45,8254,United States,US,Ashburn,elite,false,52.25,AS19437,Secured Servers LLC,2785.43,1790337231.7028303
http,131.153.1.46,37533,United States,US,Ashburn,elite,false,8.06,AS19437,Secured Servers LLC,6662.9,1790337230.9117618
http,174.138.162.36,9845,United States,US,Phoenix,elite,true,3.71,AS20454,Secured Servers LLC,688.92,1790337230.8804896
http,174.138.161.146,34408,United States,US,Phoenix,elite,true,50.49,AS20454,Secured Servers LLC,20242.72,1790337230.2476401
http,193.227.129.196,39392,United States,US,Bend,elite,true,69.06,AS397423,Tier.Net Technologies LLC,8616.29,1790337229.6153264
http,174.138.165.211,35057,United States,US,Phoenix,elite,false,4.82,AS20454,Secured Servers LLC,7427.89,1790337229.608033
http,174.138.165.213,33281,United States,US,Phoenix,elite,false,5.53,AS20454,Secured Servers LLC,9367.83,1790337229.266886
http,174.138.165.211,34412,United States,US,Phoenix,elite,false,3.77,AS20454,Secured Servers LLC,4918.64,1790337228.616873
http,174.138.165.211,36948,United States,US,Phoenix,elite,false,12.5,AS20454,Secured Servers LLC,5915.41,1790337228.3979921
http,131.153.1.46,35184,United States,US,Ashburn,elite,false,9.58,AS19437,Secured Servers LLC,17625.84,1790337228.14713
http,174.138.165.213,32936,United States,US,Phoenix,elite,false,5.86,AS20454,Secured Servers LLC,6118.71,1790337228.1179607
http,174.138.161.146,32900,United States,US,Phoenix,elite,false,51.56,AS20454,Secured Servers LLC,9391.56,1790337228.0570807
http,193.227.129.196,50685,United States,US,Bend,elite,false,52.76,AS397423,Tier.Net Technologies LLC,16554.17,1790337227.2905197
http,174.138.165.213,38249,United States,US,Phoenix,elite,false,8.65,AS20454,Secured Servers LLC,7762.89,1790337227.2580192
http,174.138.161.146,31178,United States,US,Phoenix,elite,false,56.21,AS20454,Secured Servers LLC,3112.08,1790337227.1495368
http,174.138.162.37,9943,United States,US,Phoenix,elite,false,5.82,AS20454,Secured Servers LLC,11813.51,1790337227.0742583
http,174.138.165.211,33368,United States,US,Phoenix,elite,false,5.72,AS20454,Secured Servers LLC,12311.76,1790337226.9369473
http,131.153.1.46,37333,United States,US,Ashburn,elite,false,19.42,AS19437,Secured Servers LLC,11559.3,1790337226.8439434
http,47.251.74.38,202,United States,US,Minkler,elite,true,0.88,AS45102,Alibaba Cloud LLC,6508.34,1790337226.6304834
http,67.203.23.79,8081,United States,US,Los Angeles,elite,false,99.94,AS17252,Colocation America Corporation,337.81,1790337226.0592904
http,174.138.165.213,36666,United States,US,Phoenix,elite,false,5.19,AS20454,Secured Servers LLC,12384.89,1790337226.0209398
http,174.138.162.37,31191,United States,US,Phoenix,elite,false,5.13,AS20454,Secured Servers LLC,8869.51,1790337224.9565313
http,40.113.234.46,8080,United States,US,Des Moines,transparent,false,4.4,AS8075,Microsoft Corporation,15392.88,1790337223.741616
http,174.138.165.211,31465,United States,US,Phoenix,elite,false,3.76,AS20454,Secured Servers LLC,11191.43,1790337223.5833414
http,192.241.137.170,3128,United States,US,North Bergen,transparent,true,43.4,AS14061,"DigitalOcean, LLC",22192.92,1790337222.762847
http,174.138.162.35,38436,United States,US,Phoenix,elite,false,6.58,AS20454,Secured Servers LLC,9042.95,1790337222.3809326
http,174.138.165.211,36666,United States,US,Phoenix,elite,false,5.32,AS20454,Secured Servers LLC,8540.63,1790337222.1579819
http,174.138.165.211,34979,United States,US,Phoenix,elite,false,5.81,AS20454,Secured Servers LLC,10408.26,1790337221.7971478
http,131.153.1.46,35680,United States,US,Ashburn,elite,false,7.04,AS19437,Secured Servers LLC,16421.07,1790337221.380246
http,174.138.165.211,35943,United States,US,Phoenix,elite,false,5.68,AS20454,Secured Servers LLC,12269.36,1790337220.774323
http,174.138.162.38,9991,United States,US,Phoenix,elite,true,4.23,AS20454,Secured Servers LLC,2497.61,1790337220.553777
http,193.227.129.196,54457,United States,US,Bend,elite,false,44.74,AS397423,Tier.Net Technologies LLC,7774.98,1790337220.3808417
http,174.138.162.38,31339,United States,US,Phoenix,elite,false,3.91,AS20454,Secured Servers LLC,13496.96,1790337219.552843
http,174.138.165.211,36031,United States,US,Phoenix,elite,false,7.3,AS20454,Secured Servers LLC,4975.62,1790337218.5891879
http,174.138.162.36,39889,United States,US,Phoenix,elite,true,2.33,AS20454,Secured Servers LLC,11866.69,1790337217.992515
http,43.162.115.85,8080,United States,US,Santa Clara,transparent,true,30.93,AS132203,Shenzhen Tencent Computer Systems Company Limited,17166.25,1790337217.9186988
http,131.153.1.46,30297,United States,US,Ashburn,elite,false,12.34,AS19437,Secured Servers LLC,20171.5,1790337217.3608913
http,174.138.162.38,37687,United States,US,Phoenix,elite,false,4.11,AS20454,Secured Servers LLC,2318.51,1790337216.9253833
http,174.138.165.213,35816,United States,US,Phoenix,elite,false,6.07,AS20454,Secured Servers LLC,19878.5,1790337216.6338212
http,174.138.162.38,34949,United States,US,Phoenix,elite,false,4.68,AS20454,Secured Servers LLC,9481.44,1790337216.240297
http,174.138.162.37,36241,United States,US,Phoenix,elite,false,8.33,AS20454,Secured Servers LLC,2424.71,1790337216.1901777
http,174.138.165.213,37459,United States,US,Phoenix,elite,false,3.19,AS20454,Secured Servers LLC,2421.44,1790337216.146149
http,174.138.165.211,9695,United States,US,Phoenix,elite,false,1.29,AS20454,Secured Servers LLC,10634.67,1790337215.4558296
http,131.153.1.46,32329,United States,US,Ashburn,elite,false,7.58,AS19437,Secured Servers LLC,15397.2,1790337215.228065
http,154.12.231.32,80,United States,US,St Louis,elite,true,28.23,AS40021,Contabo Inc,13631.51,1790337214.9889338
http,174.138.161.146,34769,United States,US,Phoenix,elite,false,11.43,AS20454,Secured Servers LLC,5778.61,1790337214.6367943
http,174.138.162.37,35996,United States,US,Phoenix,elite,false,4.73,AS20454,Secured Servers LLC,19900.94,1790337213.3518577
http,193.227.129.195,8001,United States,US,Bend,elite,false,60.82,AS397423,Tier.Net Technologies LLC,9543.1,1790337213.2879505
