protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,173.249.205.248,7890,United States,US,Phoenix,elite,true,87.02,AS11878,"tzulo, inc.",1595.0,1788245965.48897
http,47.89.184.18,3128,United States,US,Charlottesville,elite,true,83.21,AS45102,Alibaba.com LLC,221.15,1788245962.790844
http,199.7.149.96,3128,United States,US,Stratford,elite,true,96.3,AS400859,EXO BROADBAND,1559.65,1788245962.415375
http,34.43.46.91,80,United States,US,Mountain View,elite,true,83.04,AS396982,Google LLC,258.9,1788245957.045113
http,45.66.249.187,3128,United States,US,Los Angeles,elite,true,86.88,AS62005,BlueVPS OU,4487.25,1788245950.7840223
http,131.153.187.19,8001,United States,US,Ashburn,elite,true,79.76,AS19437,Secured Servers LLC,11419.08,1788245950.541218
http,131.153.162.76,33697,United States,US,Ashburn,elite,true,5.74,AS19437,Secured Servers LLC,2483.24,1788245946.8627622
http,131.153.163.138,37255,United States,US,Ashburn,elite,true,16.67,AS19437,Secured Servers LLC,8785.74,1788245938.0095196
http,34.43.46.91,443,United States,US,Mountain View,elite,true,82.74,AS396982,Google LLC,709.89,1788245925.0211585
http,34.134.231.117,3129,United States,US,Council Bluffs,anonymous,true,95.29,AS396982,Google LLC,2564.75,1788245922.1615171
http,174.138.165.212,37222,United States,US,Phoenix,elite,true,13.94,AS20454,Secured Servers LLC,11911.81,1788245921.1770544
http,165.154.162.73,8888,United States,US,Los Angeles,elite,true,86.31,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,5500.67,1788245903.1390028
http,131.153.163.139,35826,United States,US,Ashburn,elite,true,8.5,AS19437,Secured Servers LLC,13750.86,1788245897.918981
http,43.110.40.117,8888,United States,US,Minkler,elite,true,42.21,AS45102,"Alibaba (US) Technology Co., Ltd.",14870.87,1788245894.7494338
http,85.209.156.148,1080,United States,US,Los Angeles,elite,true,96.93,AS51765,Oy Crea Nova Hosting Solution Ltd,4495.42,1788245883.64298
http,34.69.61.247,80,United States,US,Council Bluffs,transparent,true,52.27,AS396982,Google LLC,1262.05,1788245879.2599576
http,131.153.162.75,37129,United States,US,Ashburn,elite,true,3.0,AS19437,Secured Servers LLC,6337.22,1788245861.6988447
http,34.138.182.73,3128,United States,US,North Charleston,transparent,true,20.34,AS396982,Google LLC,14442.61,1788245859.3354106
http,131.153.163.139,39444,United States,US,Ashburn,elite,true,7.93,AS19437,Secured Servers LLC,6298.15,1788245838.042499
http,131.153.187.18,52728,United States,US,Ashburn,elite,true,16.67,AS19437,Secured Servers LLC,4180.78,1788245834.48215
http,174.138.162.37,39862,United States,US,Phoenix,elite,true,11.29,AS20454,Secured Servers LLC,14549.58,1788245819.172742
http,204.48.31.203,80,United States,US,North Bergen,anonymous,true,4.1,AS14061,"DigitalOcean, LLC",7023.39,1788245772.610024
http,12.232.227.99,8080,United States,US,Dallas,transparent,true,12.53,AS7018,"AT&T Enterprises, LLC",5276.12,1788245751.3967774
http,174.138.165.204,36129,United States,US,Phoenix,elite,true,14.33,AS20454,Secured Servers LLC,6432.28,1788245735.9641898
