protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,185.228.89.74,1080,Uzbekistan,UZ,Tashkent,elite,true,35.8,AS43647,Servercore UZ,1431.41,1785122940.3347092
http,31.135.214.17,8026,Uzbekistan,UZ,Tashkent,transparent,false,29.86,AS57016,Inform-Service TV Ltd,6907.36,1785122935.4038699
socks4,185.228.89.74,1080,Uzbekistan,UZ,Tashkent,elite,true,38.3,AS43647,Servercore UZ,1557.51,1785122915.3867788
http,195.158.10.99,8080,Uzbekistan,UZ,Tashkent,transparent,false,45.04,AS8193,"""Uzbektelekom"" Joint Stock Company",5365.24,1785122912.4280055
http,195.158.8.123,3128,Uzbekistan,UZ,Tashkent,elite,true,83.79,AS8193,"""Uzbektelekom"" Joint Stock Company",7734.14,1785122900.5434253
http,83.222.7.47,3333,Uzbekistan,UZ,Tashkent,elite,false,33.67,AS8193,"""Uzbektelekom"" Joint Stock Company",3505.8,1785122864.0692058
socks5,130.49.171.75,1080,Uzbekistan,UZ,Tashkent,elite,true,42.69,AS43647,Servercore UZ,1888.97,1785122855.5505779
http,94.158.49.82,3128,Uzbekistan,UZ,Guliston,elite,true,21.5,AS43060,Iplus LLC,185.06,1785122916.7031305
http,93.188.85.150,8080,Uzbekistan,UZ,Tashkent,transparent,false,23.3,AS8193,"""Uzbektelekom"" Joint Stock Company",1557.79,1785122898.5927033
socks5,213.230.121.41,1080,Uzbekistan,UZ,Tashkent,elite,true,56.0,AS8193,"""Uzbektelekom"" Joint Stock Company",7911.27,1785122868.6332934
