protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,190.89.29.110,999,Venezuela,VE,Farriar,transparent,true,35.95,AS264628,"CORPORACION FIBEX TELECOM, C.A.",3761.38,1786046960.6110992
http,154.62.127.166,999,Venezuela,VE,Valencia,transparent,false,11.71,AS269771,Cogent Communications,3656.24,1786046947.7649353
http,38.224.32.186,999,Venezuela,VE,Valera,transparent,true,14.79,AS273007,"SPEEDNET, C.A",2918.41,1786046939.4271984
http,82.86.112.48,999,Venezuela,VE,Maracay,transparent,false,27.4,AS267809,360net C.A.,10805.92,1786046937.0132205
http,154.62.127.129,999,Venezuela,VE,Valencia,transparent,false,20.36,AS269771,Cogent Communications,11898.89,1786046916.8802614
http,190.97.232.182,999,Venezuela,VE,Sabaneta,transparent,false,21.28,AS263703,Viginet C.A,13636.05,1786046914.3450322
http,45.230.168.40,999,Venezuela,VE,Caracas,anonymous,true,33.5,AS266742,Soluciones DCN Network C.A,11454.16,1786046886.41021
http,190.97.239.56,999,Venezuela,VE,Timotes,transparent,false,12.05,AS263703,Viginet C.A,7526.01,1786046871.4448338
http,38.51.216.33,999,Venezuela,VE,Maracaibo,transparent,false,25.97,AS269730,Tecnoven Services C.A,5462.94,1786046867.798402
http,190.142.231.96,999,Venezuela,VE,Tinaquillo,anonymous,false,27.51,AS21826,Corporación Telemic C.A.,7268.05,1786046829.603068
http,45.230.170.30,999,Venezuela,VE,Caracas,transparent,false,20.13,AS266742,Soluciones DCN Network C.A,6650.49,1786046810.004246
http,38.51.209.80,999,Venezuela,VE,Maracaibo,transparent,false,21.63,AS269730,Tecnoven Services C.A,6798.49,1786046808.8218608
