protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,201.71.2.24,999,Venezuela,VE,Caracas,transparent,true,61.51,AS269920,Inversiones Rdn3 C.A.,2269.29,1785524932.6398423
http,38.76.9.0,999,Venezuela,VE,Mérida,transparent,true,99.58,AS274280,"ACT NETWORK, C.A.",533.85,1785524931.7059786
http,190.153.122.3,999,Venezuela,VE,Caracas,transparent,false,36.67,AS11562,"Net Uno, C.A.",1913.69,1785524927.3004029
http,201.71.2.26,999,Venezuela,VE,Caracas,transparent,true,57.34,AS269920,"INVERSIONES FAROCA, C.A.",4910.52,1785524925.7438822
http,200.82.238.153,999,Venezuela,VE,Valencia,transparent,true,38.66,AS21826,Corporación Telemic C.A.,9803.48,1785524907.4118054
http,38.51.216.56,999,Venezuela,VE,Maracaibo,transparent,false,41.98,AS269730,Tecnoven Services C.A,582.72,1785524906.8040056
http,38.41.0.60,11201,Venezuela,VE,Caracas,transparent,false,7.69,AS269832,MDS TELECOM C.A.,8180.65,1785524894.9017758
http,154.3.77.0,999,Venezuela,VE,Quíbor,transparent,false,61.76,AS274255,"M&S.NET, C.A.",4288.93,1785524890.8038404
http,190.142.231.3,999,Venezuela,VE,Sabana de Parra,transparent,false,7.73,AS21826,Corporación Telemic C.A.,3472.63,1785524884.4678328
http,38.137.234.98,999,Venezuela,VE,Caracas,transparent,false,30.11,AS263767,CORPORACIÓN GALA IT C.A,3514.21,1785524883.8636503
http,190.97.230.149,999,Venezuela,VE,Betijoque,transparent,false,9.92,AS263703,Viginet C.A,6108.28,1785524880.3668888
http,190.97.249.30,999,Venezuela,VE,Barquisimeto,transparent,false,12.09,AS263703,Viginet C.A,7298.28,1785524874.9379754
http,190.121.239.195,999,Venezuela,VE,Caracas,transparent,false,7.5,AS27717,Corporacion Digitel C.A,6777.46,1785524865.8577433
http,45.230.169.17,999,Venezuela,VE,Caracas,transparent,false,32.47,AS266742,Soluciones DCN Network C.A,10908.35,1785524861.6239266
http,190.94.212.198,999,Venezuela,VE,Caracas,transparent,false,7.89,AS8053,IFX Networks Venezuela C.A.,4552.37,1785524859.7763197
http,190.97.239.16,999,Venezuela,VE,Arauquita,transparent,true,16.02,AS263703,Viginet C.A,9546.39,1785524846.099995
http,38.41.0.116,999,Venezuela,VE,Mérida,anonymous,false,25.4,AS269832,MDS TELECOM C.A.,7548.26,1785524841.7896907
http,190.8.165.192,999,Venezuela,VE,Valencia,transparent,false,26.94,AS264628,"CORPORACION FIBEX TELECOM, C.A.",2360.73,1785524813.2839131
http,190.97.254.254,999,Venezuela,VE,Ocumare,transparent,false,10.96,AS263703,Viginet C.A,480.89,1785524794.4518716
http,141.136.63.126,8080,Venezuela,VE,La Grita,transparent,true,35.35,AS208888,FRONTERA,12172.83,1785524788.5122786
