protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,190.97.249.30,999,Venezuela,VE,Mérida,transparent,true,11.53,AS263703,Viginet C.A,1745.55,1784191735.6278152
http,190.97.230.149,999,Venezuela,VE,Betijoque,transparent,true,9.51,AS263703,Viginet C.A,528.41,1784191733.4325652
http,190.97.239.24,999,Venezuela,VE,Acarigua,transparent,true,11.45,AS263703,,794.32,1784191731.425288
http,38.41.0.87,999,Venezuela,VE,Caracas,transparent,true,25.32,AS269832,MDS TELECOM C.A.,7683.1,1784191709.3919327
http,190.97.243.2,999,Venezuela,VE,Mérida,transparent,true,4.11,AS263703,Viginet C.A,3995.76,1784191705.7526712
http,190.97.239.16,999,Venezuela,VE,Arauquita,transparent,true,15.68,AS263703,,10521.83,1784191675.5998316
http,190.52.110.95,999,Venezuela,VE,Caracas,transparent,true,21.1,AS394684,Gold Data USA Inc,2011.4,1784191672.3185577
http,190.97.224.99,999,Venezuela,VE,Alto Barinas,transparent,true,14.57,AS263703,Viginet C.A,8599.98,1784191665.4995222
http,38.76.138.129,999,Venezuela,VE,Caracas,transparent,true,46.95,AS263767,CORPORACIÓN GALA IT C.A,11529.04,1784191634.8986132
http,190.94.244.30,8080,Venezuela,VE,Caracas,transparent,true,38.2,AS8053,IFX Networks Venezuela C.A.,508.49,1784191615.6000893
http,190.94.212.64,999,Venezuela,VE,Caracas,transparent,true,11.07,AS8053,IFX Networks Venezuela C.A.,7817.09,1784191599.8559375
http,45.190.85.4,999,Venezuela,VE,Caracas,transparent,true,57.53,AS269891,TELECOM.CORPORATIVAS TELECORP,1436.08,1784191795.2186544
http,200.36.152.6,999,Venezuela,VE,Maracaibo,transparent,true,33.82,AS273837,"NAVEGANTE NETWORK, C.A.",1340.35,1784191705.5898101
