protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,43.109.48.179,9999,Vietnam,VN,Hanoi,elite,true,51.3,AS24429,"Zhejiang Taobao Network Co., Ltd",506.49,1787174401.0689912
socks4,101.96.117.164,1080,Vietnam,VN,Hanoi,elite,true,7.71,AS24173,NetNam Corporation,2063.16,1787174400.8697162
http,163.181.207.215,9999,Vietnam,VN,Hanoi,elite,true,52.04,AS24429,"Zhejiang Taobao Network Co., Ltd",1517.38,1787174397.4345462
socks4,116.109.179.109,1080,Vietnam,VN,Ho Chi Minh City,elite,true,60.5,AS7552,Viettel Group,3854.53,1787174395.2760813
socks4,160.250.54.5,9000,Vietnam,VN,Quận Một,elite,true,47.44,AS153320,Sandclock Service Trading Company Limited,4468.3,1787174394.2359724
socks4,14.241.182.44,5678,Vietnam,VN,Ho Chi Minh City,elite,true,44.79,AS45899,VNPT,2126.35,1787174392.4250743
socks5,118.70.67.11,1080,Vietnam,VN,Hanoi,elite,true,45.51,AS18403,Vietnam Internet Network Information Center,4118.13,1787174392.007893
http,171.245.89.241,12328,Vietnam,VN,Đông Hưng,elite,true,32.07,AS7552,Viettel Corporation,1618.6,1787174390.779242
socks4,14.232.166.150,5678,Vietnam,VN,Hanoi,elite,true,17.59,AS45899,VNPT,8306.27,1787174389.532104
socks5,118.70.151.55,1080,Vietnam,VN,Hanoi,elite,true,40.93,AS18403,Vietnam Internet Network Information Center,2167.57,1787174388.1567402
socks5,103.179.189.64,9191,Vietnam,VN,Dich Vong,elite,true,26.31,AS135905,INETSOLUTION,14716.04,1787174385.8284602
socks5,113.176.118.150,1080,Vietnam,VN,Bien Hoa,elite,true,41.4,AS45899,VNPT,1334.65,1787174383.7335134
http,163.181.207.214,9999,Vietnam,VN,Hanoi,elite,true,57.52,AS24429,"Zhejiang Taobao Network Co., Ltd",487.39,1787174380.6572232
socks5,160.250.54.5,9000,Vietnam,VN,Quận Một,elite,true,46.64,AS153320,Sandclock Service Trading Company Limited,12853.69,1787174376.0647473
socks4,103.179.172.167,18888,Vietnam,VN,Dich Vong,elite,true,37.22,AS135905,Vietnam Posts and Telecommunications Group,5200.92,1787174372.3023202
http,163.181.207.213,9999,Vietnam,VN,Hanoi,elite,true,62.24,AS24429,"Zhejiang Taobao Network Co., Ltd",504.73,1787174371.7229822
socks4,116.106.109.161,1080,Vietnam,VN,Hanoi,elite,true,29.43,AS24086,Viettel Group,817.42,1787174371.6226056
socks5,160.250.54.6,9000,Vietnam,VN,Quận Một,elite,true,43.21,AS153320,Sandclock Service Trading Company Limited,10442.74,1787174370.267987
socks4,160.187.1.225,9050,Vietnam,VN,Tây Hồ,elite,true,24.91,AS152992,Online Data Company Limited,13762.79,1787174368.6382313
http,103.82.20.76,8080,Vietnam,VN,Dich Vong,elite,false,64.88,AS135905,INETACADEMY,8188.18,1787174366.0061467
http,43.109.48.180,9999,Vietnam,VN,Hanoi,elite,true,61.25,AS24429,"Zhejiang Taobao Network Co., Ltd",513.9,1787174363.5048215
socks4,160.250.54.9,9000,Vietnam,VN,Quận Một,elite,true,47.18,AS153320,Sandclock Service Trading Company Limited,15661.09,1787174362.231043
socks5,160.250.54.8,9000,Vietnam,VN,Quận Một,elite,true,47.8,AS153320,Sandclock Service Trading Company Limited,1679.32,1787174358.7390952
socks4,113.161.134.128,1080,Vietnam,VN,Bien Hoa,elite,true,51.79,AS45899,VietNam Post and Telecom Corporation,4121.65,1787174357.5917556
http,165.99.14.18,5432,Vietnam,VN,Hanoi,elite,true,63.77,AS150820,Lienvps Technology Company Limited,15296.53,1787174354.116568
http,14.170.154.193,19132,Vietnam,VN,Thai Nguyen,transparent,false,8.35,AS45899,VNPT-VNNIC,6747.82,1787174347.3691983
socks4,160.250.54.6,9000,Vietnam,VN,Quận Một,elite,true,45.6,AS153320,Sandclock Service Trading Company Limited,8458.88,1787174345.7810206
http,110.172.28.217,3128,Vietnam,VN,Quận Mười Một,transparent,false,30.14,AS135918,CONTABO,8420.64,1787174345.1881611
