protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,113.160.132.26,8080,Vietnam,VN,Bắc Ninh,elite,true,99.12,AS45899,VietNam Post and Telecom Corporation,618.92,1780137291.2495952
http,128.14.92.89,22885,Vietnam,VN,Hanoi,elite,false,73.25,AS21859,Zenlayer Inc,16301.15,1780137266.4678185
http,113.160.241.196,19132,Vietnam,VN,Da Nang,transparent,false,8.52,AS45899,VietNam Post and Telecom Corporation,12210.47,1780137264.6846597
http,103.147.35.27,3128,Vietnam,VN,Dich Vong,transparent,true,18.46,AS135905,International Data Service Joint Stock Company,10772.05,1780137255.5186818
http,113.176.118.255,7654,Vietnam,VN,Hoi An,elite,false,4.61,AS45899,VNPT,4560.17,1780137254.693346
http,128.14.92.90,22889,Vietnam,VN,Hanoi,elite,true,60.94,AS21859,Zenlayer Inc,6906.72,1780137252.9980636
http,128.14.92.91,3128,Vietnam,VN,Hanoi,elite,false,22.18,AS21859,Zenlayer Inc,7114.14,1780137250.38918
http,128.14.92.86,22886,Vietnam,VN,Hanoi,elite,true,70.66,AS21859,Zenlayer Inc,12302.23,1780137248.5565686
http,27.74.247.173,8080,Vietnam,VN,Ho Chi Minh City,transparent,false,8.73,AS7552,Newass2011xDSLHN,1212.93,1780137244.620393
http,128.14.92.89,3128,Vietnam,VN,Hanoi,elite,false,32.24,AS21859,Zenlayer Inc,7326.26,1780137240.9742465
http,128.14.92.89,22891,Vietnam,VN,Hanoi,elite,false,67.76,AS21859,Zenlayer Inc,8718.58,1780137238.5630412
http,128.14.92.88,22883,Vietnam,VN,Hanoi,elite,true,74.27,AS21859,Zenlayer Inc,5187.56,1780137238.3027432
http,113.176.92.71,3128,Vietnam,VN,Cà Mau,transparent,true,57.12,AS45899,VNPT,703.04,1780137237.3390367
http,137.59.47.73,3128,Vietnam,VN,Mai Dich,transparent,true,76.84,AS131429,MOBIFONECNTT,3568.29,1780137231.5195637
http,128.14.92.85,22881,Vietnam,VN,Hanoi,elite,false,29.06,AS21859,Zenlayer Inc,5363.72,1780137229.0589402
http,14.224.183.185,8080,Vietnam,VN,Hanoi,transparent,false,6.02,AS45899,VNPT,9856.87,1780137228.3048291
http,128.14.92.88,22892,Vietnam,VN,Hanoi,elite,false,27.35,AS21859,Zenlayer Inc,11347.2,1780137220.3488314
http,14.241.231.13,8080,Vietnam,VN,Ho Chi Minh City,transparent,false,13.31,AS45899,VNPT,3834.71,1780137207.160842
http,42.96.19.211,1314,Vietnam,VN,Hanoi,elite,false,28.99,AS131423,HOALAC-VNNIC,13609.67,1780137207.073171
http,117.6.77.217,1009,Vietnam,VN,Hanoi,elite,true,4.43,AS7552,VIETTEL,985.25,1780137205.2881002
http,14.225.8.195,3218,Vietnam,VN,Hanoi,transparent,false,17.37,AS135905,Vietnam Posts and Telecommunications Group,11438.09,1780137201.303212
http,27.72.244.228,8080,Vietnam,VN,Hanoi,transparent,false,7.2,AS7552,Newass2011xDSLHN,7835.17,1780137184.1481113
http,180.93.35.207,8080,Vietnam,VN,Quận Bốn,elite,false,15.04,AS7602,SPT,19328.83,1780137179.4792256
http,110.172.28.217,3128,Vietnam,VN,Quận Mười Một,transparent,false,35.89,AS135918,CONTABO,11053.72,1780137177.8792706
http,128.14.92.86,3128,Vietnam,VN,Hanoi,elite,true,32.05,AS21859,Zenlayer Inc,11137.91,1780137139.4035132
http,123.58.199.232,8168,Vietnam,VN,Ho Chi Minh City,elite,false,20.23,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,547.8,1780137117.4659736
http,113.160.130.82,443,Vietnam,VN,Bắc Ninh,transparent,false,10.95,AS45899,VietNam Post and Telecom Corporation,4772.62,1780137104.8672361
http,203.205.49.2,10027,Vietnam,VN,Mai Dich,elite,true,9.56,AS45903,CMC Telecom Infrastructure Company,2066.17,1780137300.04601
http,203.205.49.2,10235,Vietnam,VN,Mai Dich,elite,true,11.59,AS45903,CMC Telecom Infrastructure Company,2237.69,1780137283.825127
http,203.205.49.2,10101,Vietnam,VN,Mai Dich,elite,false,29.48,AS45903,CMC Telecom Infrastructure Company,871.48,1780137242.562455
http,203.205.49.2,10088,Vietnam,VN,Mai Dich,elite,false,10.63,AS45903,CMC Telecom Infrastructure Company,1722.38,1780137229.5381434
http,203.205.49.2,10067,Vietnam,VN,Mai Dich,elite,false,9.71,AS45903,CMC Telecom Infrastructure Company,684.76,1780137202.4387128
http,203.205.49.2,10227,Vietnam,VN,Mai Dich,elite,true,9.13,AS45903,CMC Telecom Infrastructure Company,1745.96,1780137195.3394783
