protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,118.69.183.149,8080,Vietnam,VN,Ho Chi Minh City,transparent,true,9.62,AS18403,Vietnam Internet Network Information Center,4442.62,1786072176.8007324
http,103.15.222.192,10372,Vietnam,VN,Tây Mỗ,elite,true,19.19,AS149137,TAN Thanh AN International Trade Development Company Limited,5321.7,1786072176.7750492
http,113.160.132.26,8080,Vietnam,VN,Phu Ly,elite,true,98.08,AS45899,VietNam Post and Telecom Corporation,618.76,1786072174.4511623
http,116.110.91.14,8080,Vietnam,VN,Da Nang,transparent,true,70.51,AS24086,Viettel Group,1481.36,1786072166.4146447
http,103.15.222.192,10249,Vietnam,VN,Tây Mỗ,elite,true,22.0,AS149137,TAN Thanh AN International Trade Development Company Limited,11546.34,1786072163.3489938
http,113.160.115.254,8080,Vietnam,VN,Hanoi,transparent,true,10.05,AS45899,VietNam Post and Telecom Corporation,4649.99,1786072162.656803
http,103.15.222.192,10015,Vietnam,VN,Tây Mỗ,elite,true,21.13,AS149137,TAN Thanh AN International Trade Development Company Limited,2223.94,1786072161.2292562
http,103.15.222.192,10273,Vietnam,VN,Tây Mỗ,elite,true,21.83,AS149137,TAN Thanh AN International Trade Development Company Limited,7367.52,1786072157.5017817
http,101.96.98.138,8080,Vietnam,VN,Tây Hồ District,transparent,true,20.08,AS24173,NetNam Corporation,4061.0,1786072155.8716927
http,103.15.222.192,10395,Vietnam,VN,Tây Mỗ,elite,true,20.89,AS149137,TAN Thanh AN International Trade Development Company Limited,4873.4,1786072149.9836526
http,14.225.240.23,8562,Vietnam,VN,Ho Chi Minh City,elite,true,48.02,AS135905,Vietnam Posts and Telecommunications Group,2294.29,1786072095.3528392
http,42.115.173.141,3128,Vietnam,VN,Ho Chi Minh City,elite,true,93.83,AS18403,FPT Telecom Company,5599.2,1786072094.927047
http,14.241.133.207,8080,Vietnam,VN,Ho Chi Minh City,transparent,true,12.68,AS45899,VNPT,4284.3,1786072085.5656636
http,103.129.127.244,8088,Vietnam,VN,Ho Chi Minh City,elite,true,72.14,AS135918,THIENTUANSTECH,4471.79,1786072073.28409
http,113.176.92.71,3128,Vietnam,VN,Bien Hoa,transparent,true,64.27,AS45899,VNPT,12111.06,1786072048.9595065
http,118.69.176.114,8080,Vietnam,VN,Ho Chi Minh City,transparent,true,16.64,AS18403,Vietnam Internet Network Information Center,6598.15,1786072035.641709
http,103.15.222.192,10187,Vietnam,VN,Tây Mỗ,elite,true,19.22,AS149137,TAN Thanh AN International Trade Development Company Limited,6060.34,1786072003.5007255
http,103.82.20.76,8080,Vietnam,VN,Dich Vong,elite,true,68.1,AS135905,INETACADEMY,1159.01,1786072185.8492544
http,103.177.146.1,30001,Vietnam,VN,Ho Chi Minh City,elite,true,100.0,AS149062,Technology Solution Data Online Company Limited,2190.3,1786072179.6612165
http,163.223.230.230,39227,Vietnam,VN,Phù Mỹ,transparent,true,3.7,AS135983,Tino Group Joint Stock Company,3760.31,1786072117.4514644
