protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,118.71.44.153,1083,Vietnam,VN,Hanoi,elite,true,87.35,AS18403,Vietnam Internet Network Information Center,5785.6,1784110138.2503016
socks5,117.7.80.189,1105,Vietnam,VN,Nam Định,elite,true,79.17,AS7552,VIETTEL,2139.14,1784110134.392145
socks5,117.7.80.126,1105,Vietnam,VN,Nam Định,elite,true,80.58,AS7552,VIETTEL,13083.16,1784110127.4797642
socks5,118.71.44.153,1088,Vietnam,VN,Hanoi,elite,true,82.0,AS18403,Vietnam Internet Network Information Center,3628.61,1784110121.2387223
socks5,117.7.80.199,1107,Vietnam,VN,Nam Định,elite,true,84.21,AS7552,VIETTEL,1595.08,1784110117.4982703
socks5,117.7.81.125,1105,Vietnam,VN,Nam Định,elite,true,73.2,AS7552,VIETTEL,13163.82,1784110097.3442616
socks5,36.50.177.175,1080,Vietnam,VN,Quận Hai,elite,true,27.71,AS151858,ANTOANDULIEU,5593.38,1784110096.856038
socks5,117.7.80.193,1084,Vietnam,VN,Nam Định,elite,true,75.28,AS7552,VIETTEL,8730.87,1784110092.097311
socks5,117.7.80.160,1105,Vietnam,VN,Nam Định,elite,true,70.8,AS7552,VIETTEL,4747.9,1784110071.5238779
socks5,117.7.80.126,1084,Vietnam,VN,Nam Định,elite,true,73.54,AS7552,VIETTEL,3717.7,1784110066.3145382
socks5,117.7.80.193,1047,Vietnam,VN,Nam Định,elite,true,78.44,AS7552,VIETTEL,3338.87,1784110064.3944583
socks5,118.71.44.153,1084,Vietnam,VN,Hanoi,elite,true,86.78,AS18403,Vietnam Internet Network Information Center,8775.44,1784110054.5401688
socks5,117.7.80.126,1047,Vietnam,VN,Nam Định,elite,true,50.0,AS7552,VIETTEL,9776.5,1784110054.3345487
socks5,117.7.80.193,1107,Vietnam,VN,Nam Định,elite,true,91.3,AS7552,VIETTEL,3193.33,1784110041.4750733
socks5,117.7.81.125,1107,Vietnam,VN,Nam Định,elite,true,95.19,AS7552,VIETTEL,3968.13,1784110040.3720868
socks5,117.7.80.246,1107,Vietnam,VN,Nam Định,elite,true,76.47,AS7552,VIETTEL,3720.89,1784110040.1652617
socks5,117.7.80.75,1084,Vietnam,VN,Nam Định,elite,true,59.57,AS7552,VIETTEL,5716.5,1784110026.7080429
socks5,118.71.44.153,1085,Vietnam,VN,Hanoi,elite,true,89.97,AS18403,Vietnam Internet Network Information Center,4799.95,1784110008.0718791
socks5,118.70.151.55,1080,Vietnam,VN,Hanoi,elite,true,46.93,AS18403,Vietnam Internet Network Information Center,9726.86,1784109993.3198497
socks5,118.71.44.153,1047,Vietnam,VN,Hanoi,elite,true,69.33,AS18403,Vietnam Internet Network Information Center,7206.57,1784109984.0616
socks5,118.71.44.153,1080,Vietnam,VN,Hanoi,elite,true,76.66,AS18403,Vietnam Internet Network Information Center,9159.45,1784109979.9190607
socks5,58.186.168.168,1084,Vietnam,VN,Hanoi,elite,true,66.67,AS18403,FPT Telecom Company,3540.22,1784109963.4018967
socks5,160.250.54.6,9000,Vietnam,VN,Quận Một,elite,true,43.38,AS153320,Sandclock Service Trading Company Limited,4906.31,1784110141.0415778
socks5,163.61.70.4,9000,Vietnam,VN,Quận Bình Thạnh,elite,true,45.69,AS153585,Gold Key Real Estate Investment Company Limited,3313.35,1784110121.9294462
socks5,160.250.54.5,9000,Vietnam,VN,Quận Một,elite,true,48.14,AS153320,Sandclock Service Trading Company Limited,3288.32,1784110097.6225758
socks5,160.22.17.4,9988,Vietnam,VN,Quận Ba,elite,true,91.34,AS45899,VNPT Corp,4025.83,1784109979.5320733
