protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,196.15.250.17,4153,South Africa,ZA,Odendaalsrus,elite,true,31.44,AS5713,Telkom SA Ltd,4009.49,1787445891.7494583
socks5,102.217.190.157,7080,South Africa,ZA,Cape Town,elite,true,42.64,AS328970,CloudGistics,3991.82,1787445886.9087021
http,102.206.118.204,8088,South Africa,ZA,Cape Town,transparent,true,27.67,AS328723,Cloud Hosting,3980.97,1787445872.9548135
http,102.218.41.98,8082,South Africa,ZA,Durban,transparent,false,23.51,AS328942,IMVULA ITECHNOLOGIES (PTY) LTD,6320.54,1787445870.397632
http,217.29.208.206,9999,South Africa,ZA,Potchefstroom,transparent,false,25.18,AS328471,HERO TELECOMS (PTY) LTD,7261.98,1787445856.889935
http,102.39.133.233,8080,South Africa,ZA,Bloemfontein,transparent,false,18.3,AS11845,Vox Telecommunications (Pty) Limited,4987.56,1787445841.5953107
http,196.251.223.54,8080,South Africa,ZA,Brits,transparent,true,9.8,AS37403,Info-Gro (PTY) Ltd,2373.82,1787445841.521908
http,156.155.50.93,8080,South Africa,ZA,Durban,transparent,true,14.28,AS37611,AxxessNetworks,8275.81,1787445839.1877506
http,169.255.78.190,8865,South Africa,ZA,George,elite,false,20.7,AS328471,HERO TELECOMS (PTY) LTD,6998.14,1787445824.277121
socks5,143.20.185.219,9150,South Africa,ZA,Centurion,elite,true,30.48,AS214209,Internet Magnate (Pty) Ltd,11526.42,1787445823.8277416
http,196.6.115.165,8080,South Africa,ZA,Tzaneen,transparent,true,23.61,AS328638,LWIC,4807.12,1787445776.8357952
socks4,105.214.0.91,5678,South Africa,ZA,Johannesburg,elite,true,40.72,AS16637,MTN SA,1923.71,1787445897.6249807
socks4,105.214.100.25,5678,South Africa,ZA,Johannesburg,elite,true,51.7,AS16637,MTN SA,3954.18,1787445889.9570744
