protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,217.29.208.206,9999,South Africa,ZA,Potchefstroom,transparent,true,25.62,AS328471,HERO TELECOMS (PTY) LTD,2208.37,1786420761.3790393
http,102.39.233.4,8080,South Africa,ZA,Cape Town,transparent,false,11.8,AS11845,Vox Telecommunications (Pty) Limited,4554.69,1786420761.3025599
http,196.6.115.165,8080,South Africa,ZA,Tzaneen,transparent,true,23.27,AS328638,LWIC,7977.79,1786420740.3612995
http,102.164.220.207,8080,South Africa,ZA,Potchefstroom,transparent,false,36.93,AS327750,Jenny Internet cc,4702.18,1786420717.5081491
http,102.218.41.98,8082,South Africa,ZA,Durban,transparent,false,23.76,AS328942,IMVULA ITECHNOLOGIES (PTY) LTD,4146.44,1786420684.750817
http,154.117.154.194,8080,South Africa,ZA,Johannesburg,elite,false,9.36,AS37358,BitCo,5357.59,1786420670.9814084
http,154.126.213.152,8070,South Africa,ZA,Potchefstroom,transparent,false,29.22,AS327750,JENNY Network,4976.58,1786420644.2463117
http,196.251.222.154,8080,South Africa,ZA,Brits,transparent,false,1.19,AS37403,Info-Gro (PTY) Ltd,8994.18,1786420643.880839
http,169.255.78.190,8865,South Africa,ZA,George,elite,false,19.78,AS328471,HERO TELECOMS (PTY) LTD,6404.97,1786420709.3167574
http,169.239.208.70,8080,South Africa,ZA,Cape Town,transparent,false,27.99,AS327983,Interworks Wireless Solutions,11862.45,1786420695.8422203
