protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,102.218.41.98,8082,South Africa,ZA,Durban,transparent,true,22.55,AS328942,IMVULA ITECHNOLOGIES (PTY) LTD,8227.56,1784080774.850673
http,45.220.27.103,8080,South Africa,ZA,Centurion,transparent,true,42.36,AS327901,Level 7 Wireless (Pty) Ltd,1709.63,1784080765.2956011
http,102.130.125.251,3128,South Africa,ZA,Rustenburg,elite,true,22.96,AS328364,Hostafrica,954.41,1784080760.8572035
http,102.130.125.251,8080,South Africa,ZA,Rustenburg,elite,true,21.68,AS328364,Hostafrica,964.31,1784080759.1086297
http,102.212.152.2,8080,South Africa,ZA,Johannesburg,transparent,true,30.38,AS329229,Stellar Technology Solutions (Pty) Ltd,1443.99,1784080754.2322097
http,196.251.222.242,8104,South Africa,ZA,Brits,transparent,true,26.14,AS37403,Info-Gro (PTY) Ltd,8040.27,1784080749.7878098
http,196.251.223.54,8080,South Africa,ZA,Brits,transparent,true,6.78,AS37403,Info-Gro (PTY) Ltd,12848.72,1784080737.4238658
http,102.203.80.41,3128,South Africa,ZA,Johannesburg,elite,true,20.68,AS329206,Rackzar  (Pty) Ltd,886.53,1784080722.836993
http,102.39.233.4,8080,South Africa,ZA,Mossel Bay,transparent,true,10.8,AS11845,Vox Telecommunications (Pty) Limited,4015.65,1784080693.3529124
http,102.203.80.41,8080,South Africa,ZA,Johannesburg,elite,true,19.88,AS329206,Rackzar  (Pty) Ltd,896.59,1784080677.3470068
http,102.217.139.31,8180,South Africa,ZA,Cape Town,transparent,true,21.55,AS329181,Bluedog Technology,882.44,1784080645.622081
http,105.22.37.218,8080,South Africa,ZA,Johannesburg,transparent,true,28.99,AS37100,SEACOM Limited Networks,2267.19,1784080803.004606
http,154.117.154.194,8080,South Africa,ZA,Cape Town,elite,true,8.74,AS37358,BitCo,3757.76,1784080751.3532183
