protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,105.214.99.21,5678,South Africa,ZA,Johannesburg,elite,true,57.65,AS16637,MTN SA,920.38,1786222780.3747668
socks4,105.214.94.240,5678,South Africa,ZA,Johannesburg,elite,true,66.06,AS16637,MTN SA,3963.35,1786222779.2328787
socks4,105.214.84.221,5678,South Africa,ZA,Johannesburg,elite,true,54.66,AS16637,MTN SA,1939.28,1786222774.524928
socks4,105.214.66.130,5678,South Africa,ZA,Johannesburg,elite,true,57.94,AS16637,MTN SA,3974.24,1786222774.3393185
socks4,102.39.133.233,1080,South Africa,ZA,Cape Town,elite,true,36.61,AS11845,Vox Telecommunications (Pty) Limited,1884.83,1786222768.3088603
socks4,105.214.45.63,5678,South Africa,ZA,Johannesburg,elite,true,54.61,AS16637,MTN SA,8030.04,1786222766.509092
socks4,105.214.79.226,5678,South Africa,ZA,Johannesburg,elite,true,69.75,AS16637,MTN SA,8075.17,1786222765.7114787
socks4,105.30.248.241,1080,South Africa,ZA,Durban,elite,true,55.58,AS37100,SEACOM Limited Networks,4066.24,1786222765.6250288
socks4,143.20.185.219,9150,South Africa,ZA,Centurion,elite,true,52.26,AS214209,Internet Magnate (Pty) Ltd,9460.92,1786222763.320175
socks4,169.159.128.73,1080,South Africa,ZA,Pretoria,elite,true,57.38,AS328471,Herotel,1002.34,1786222762.3462183
socks4,105.214.100.25,5678,South Africa,ZA,Johannesburg,elite,true,70.85,AS16637,MTN SA,1949.87,1786222759.1693602
