protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,41.220.16.214,80,Zimbabwe,ZW,Harare,anonymous,false,66.75,AS37204,Telone PVT Ltd,1272.5,1780137297.8629556
http,41.220.16.213,80,Zimbabwe,ZW,Harare,anonymous,false,68.42,AS37204,Telone PVT Ltd,1227.41,1780137291.3835366
http,41.220.16.209,80,Zimbabwe,ZW,Harare,anonymous,false,65.17,AS37204,Telone PVT Ltd,1277.66,1780137291.2951884
http,41.220.22.7,80,Zimbabwe,ZW,Harare,anonymous,false,53.84,AS37204,Telone PVT Ltd,2607.25,1780137282.9978325
http,197.221.249.199,80,Zimbabwe,ZW,Harare,anonymous,false,72.02,AS37204,Telone PVT Ltd,1268.6,1780137266.6578746
http,197.221.240.176,80,Zimbabwe,ZW,Harare,anonymous,false,66.47,AS37204,Telone PVT Ltd,1306.18,1780137248.257183
http,197.221.240.240,80,Zimbabwe,ZW,Harare,anonymous,false,64.97,AS37204,Telone PVT Ltd,1367.95,1780137239.6222029
http,41.220.16.208,80,Zimbabwe,ZW,Harare,anonymous,false,65.09,AS37204,Telone PVT Ltd,1731.45,1780137222.0945082
http,197.221.237.248,80,Zimbabwe,ZW,Marondera,anonymous,false,68.86,AS37204,Telone PVT Ltd,1320.95,1780137168.7359107
http,197.221.240.178,80,Zimbabwe,ZW,Harare,anonymous,false,64.9,AS37204,Telone PVT Ltd,1258.04,1780137296.2850075
http,197.221.240.247,80,Zimbabwe,ZW,Harare,anonymous,false,65.09,AS37204,Telone PVT Ltd,1277.67,1780137286.77932
http,41.220.16.215,80,Zimbabwe,ZW,Harare,anonymous,false,68.39,AS37204,Telone PVT Ltd,2343.66,1780137283.284656
http,41.220.16.211,80,Zimbabwe,ZW,Harare,anonymous,false,66.6,AS37204,Telone PVT Ltd,1285.1,1780137279.073352
http,197.221.249.198,80,Zimbabwe,ZW,Harare,anonymous,false,68.73,AS37204,Telone PVT Ltd,1308.78,1780137266.8631272
http,197.221.234.149,80,Zimbabwe,ZW,Marondera,anonymous,false,64.81,AS37204,Telone PVT Ltd,2011.72,1780137262.1684918
http,197.221.234.252,80,Zimbabwe,ZW,Marondera,anonymous,false,68.46,AS37204,Telone PVT Ltd,1321.38,1780137252.6774888
http,197.221.249.197,80,Zimbabwe,ZW,Harare,anonymous,false,71.56,AS37204,Telone PVT Ltd,1293.83,1780137246.3621233
http,197.221.240.246,80,Zimbabwe,ZW,Harare,anonymous,false,65.03,AS37204,Telone PVT Ltd,1289.69,1780137245.2109497
http,197.221.234.253,80,Zimbabwe,ZW,Marondera,anonymous,false,76.9,AS37204,Telone PVT Ltd,1278.09,1780137238.2619846
http,197.221.249.196,80,Zimbabwe,ZW,Harare,anonymous,false,76.87,AS37204,Telone PVT Ltd,1312.64,1780137147.2102628
http,41.220.16.218,80,Zimbabwe,ZW,Harare,anonymous,false,53.82,AS37204,Telone PVT Ltd,1297.34,1780137127.26415
