protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,197.221.237.248,80,Zimbabwe,ZW,Marondera,anonymous,false,68.6,AS37204,Telone PVT Ltd,1239.54,1780087799.9280403
http,197.221.240.178,80,Zimbabwe,ZW,Harare,anonymous,false,64.59,AS37204,Telone PVT Ltd,1211.84,1780087799.486255
http,197.221.234.149,80,Zimbabwe,ZW,Marondera,anonymous,false,64.5,AS37204,Telone PVT Ltd,1222.86,1780087797.8798876
http,41.220.16.209,80,Zimbabwe,ZW,Harare,anonymous,false,64.87,AS37204,Telone PVT Ltd,1276.54,1780087795.7227306
http,41.220.16.208,80,Zimbabwe,ZW,Harare,anonymous,false,64.8,AS37204,Telone PVT Ltd,1226.75,1780087795.3922791
http,41.220.16.213,80,Zimbabwe,ZW,Harare,anonymous,false,68.19,AS37204,Telone PVT Ltd,8515.23,1780087791.6577923
http,197.221.234.252,80,Zimbabwe,ZW,Marondera,anonymous,false,68.24,AS37204,Telone PVT Ltd,1356.55,1780087790.3958783
http,197.221.240.240,80,Zimbabwe,ZW,Harare,anonymous,false,64.65,AS37204,Telone PVT Ltd,2270.38,1780087786.8658478
http,197.221.249.197,80,Zimbabwe,ZW,Harare,anonymous,false,71.18,AS37204,Telone PVT Ltd,8408.8,1780087786.8605864
http,197.221.234.253,80,Zimbabwe,ZW,Marondera,anonymous,false,76.8,AS37204,Telone PVT Ltd,2256.99,1780087783.5604908
http,197.221.240.247,80,Zimbabwe,ZW,Harare,anonymous,false,64.78,AS37204,Telone PVT Ltd,1228.43,1780087782.4852889
http,41.220.16.211,80,Zimbabwe,ZW,Harare,anonymous,false,66.34,AS37204,Telone PVT Ltd,8338.77,1780087780.8191912
http,41.220.16.218,80,Zimbabwe,ZW,Harare,anonymous,false,53.7,AS37204,Telone PVT Ltd,1260.39,1780087775.9768982
http,41.220.16.214,80,Zimbabwe,ZW,Harare,anonymous,false,66.52,AS37204,Telone PVT Ltd,2230.95,1780087771.2705112
http,197.221.249.199,80,Zimbabwe,ZW,Harare,anonymous,false,71.78,AS37204,Telone PVT Ltd,2281.39,1780087763.6951149
http,41.220.16.215,80,Zimbabwe,ZW,Harare,anonymous,false,68.17,AS37204,Telone PVT Ltd,4274.77,1780087758.2235143
http,197.221.240.246,80,Zimbabwe,ZW,Harare,anonymous,false,64.74,AS37204,Telone PVT Ltd,1226.76,1780087749.350154
http,197.221.240.176,80,Zimbabwe,ZW,Harare,anonymous,false,66.21,AS37204,Telone PVT Ltd,1203.12,1780087735.8849318
http,41.220.22.7,80,Zimbabwe,ZW,Harare,anonymous,false,53.72,AS37204,Telone PVT Ltd,1241.11,1780087695.4532688
